,hamiltonian,nqubits,beta,trial,AA,Psuc,C,C_depth,F,F_depth,F_r,F_fit,F_fit_depth,F_fit_r,F_fit_params
0,heisenberg_fully_connected,4,2,0,15.04444852142785,0.24550947546958923,30.362822686683934,7.454360671583917,31.96836910012095,10.98157083665229,2,31.968368737483075,10.981570627829917,2,[1.00000477]
1,heisenberg_fully_connected,4,502,0,2764.9308007107484,0.0625,11059.723202842993,691.2327001776871,1937.3356222646485,1002.6121905637981,18,1024.5707925730471,737.7664810647766,7,[6.49134538]
2,heisenberg_fully_connected,4,1002,0,5483.298614748889,0.0625,21933.194458995556,1370.8246536872223,3205.5690068052954,1825.620714177296,22,1763.5681499193602,1392.9171144099603,4,[7.53766802]
3,heisenberg_fully_connected,4,1502,0,8201.609320064848,0.0625,32806.43728025939,2050.402330016212,4361.886640051437,2660.4716008292835,26,2419.0744054830247,2092.25445973059,6,[6.9128183]
4,heisenberg_fully_connected,4,2002,0,10919.905627610118,0.0625,43679.62251044047,2729.9764069025296,5458.863262530338,3433.3167755869395,28,3104.072702026176,2763.304491327844,5,[7.09830091]
5,heisenberg_fully_connected,4,2502,0,13638.19615657606,0.0625,54552.78462630424,3409.549039144015,6516.655212249281,4250.464313275039,31,3877.561530188565,3432.8990107538434,5,[12.09859462]
6,heisenberg_fully_connected,4,3002,0,16356.483790823062,0.0625,65425.93516329225,4089.1209477057655,7546.335965869776,5032.122579237389,33,4479.272229709175,4123.359780126224,5,[7.25580154]
7,heisenberg_fully_connected,4,3502,0,19074.769768946182,0.0625,76299.07907578473,4768.6924422365455,8554.502415820965,5770.458016503045,34,5248.8806988105825,4792.662326143398,5,[12.30152066]
8,heisenberg_fully_connected,4,4002,0,21793.054711116158,0.0625,87172.21884446463,5448.263677779039,9544.688847442298,6557.8195889155095,36,5931.814710491901,5471.328036744493,4,[8.88295411]
9,heisenberg_fully_connected,4,4502,0,24511.338962217815,0.0625,98045.35584887126,6127.834740554454,10521.198741251377,7349.694499207768,38,6512.499997008286,6191.442516419185,8,[7.7018934]
10,heisenberg_fully_connected,4,5002,0,27229.62272933771,0.0625,108918.49091735083,6807.405682334427,11484.876429896616,8092.1693178016285,39,7303.710724421631,6832.023845360488,5,[12.50257411]
11,heisenberg_fully_connected,4,5502,0,29947.90614433544,0.0625,119791.62457734176,7486.97653608386,12438.586853519368,8835.31434434898,40,7988.6143124974005,7511.7696088817665,5,[12.55102025]
12,heisenberg_fully_connected,4,6002,0,32666.18929515876,0.0625,130664.75718063505,8166.54732378969,13383.150214853173,9636.349050967465,42,8974.504704119474,8181.727624721867,7,[35.79959962]
13,heisenberg_fully_connected,4,6502,0,35384.47224271807,0.0625,141537.88897087227,8846.118060679517,14319.120731497376,10382.69506353312,43,9383.553880853091,8878.058270914085,12,[35.17918962]
14,heisenberg_fully_connected,4,7002,0,38102.7550305348,0.0625,152411.0201221392,9525.6887576337,15247.98973055046,11129.992772324833,44,10053.042027455487,9552.2307963921,7,[20.17324738]
15,heisenberg_fully_connected,4,7502,0,40821.03769053345,0.0625,163284.1507621338,10205.259422633362,16170.392383767796,11878.301964175642,45,11039.629251461214,10220.359704906481,7,[36.92266765]
16,heisenberg_fully_connected,4,8002,0,43539.32024666299,0.0625,174157.28098665195,10884.830061665747,17086.890075254614,12627.667824794058,46,11726.705234157276,10896.611762303772,3,[14.5604724]
17,heisenberg_fully_connected,4,8502,0,46257.60271724109,0.0625,185030.41086896436,11564.400679310273,17997.98327187929,13378.125034311224,47,12186.910291800685,11586.432462903067,4,[10.44598085]
18,heisenberg_fully_connected,4,9002,0,48975.88511651738,0.0625,195903.5404660695,12243.971279129344,18904.12122849333,14129.700557633229,48,13074.635328223543,12255.883000630563,3,[14.57019998]
19,heisenberg_fully_connected,4,9502,0,51694.16745574334,0.0625,206776.66982297337,12923.541863935836,19805.709515217673,14882.415590493594,49,13756.073830248883,12935.50983401417,3,[14.57580131]
20,heisenberg_fully_connected,4,10002,0,54412.449743921454,0.0625,217649.79897568582,13603.112435980363,20703.115995757344,15636.286944994838,50,14441.007565843596,13615.10203939971,3,[14.63814741]
0,heisenberg_fully_connected,4,2,1,12.190802054046923,0.3659346103668213,20.15257452590588,7.374524507025696,22.67320458955978,10.860560682256622,2,22.67320448471206,10.860560682256622,2,[1.]
1,heisenberg_fully_connected,4,502,1,2764.9308007107484,0.0625,11059.723202842993,691.2327001776871,1952.2944542954078,979.0676046899023,17,1128.4187852639093,730.6555971994435,6,[6.16085249]
2,heisenberg_fully_connected,4,1002,1,5483.298614748889,0.0625,21933.194458995556,1370.8246536872223,3211.8736948596634,1825.620714177296,22,1819.636181455603,1415.4726542855517,5,[3.51593881]
