,hamiltonian,nqubits,beta,trial,AA,Psuc,C,C_depth,F,F_depth,F_r,F_fit,F_fit_depth,F_fit_r,F_fit_params
0,maxcut,12,2,0,12.259715885401716,0.3620430529117584,20.375125689038178,7.376672707920178,23.84941133648244,10.863812663892688,2,23.84941125384424,10.863812662230206,2,[1.00000004]
1,maxcut,12,502,0,22185.277719396803,0.0009765625,709928.8870206977,693.2899287311501,54589.909127279025,1855.2760113262452,48,29159.83015339046,722.8092135943384,5,[8.11746736]
2,maxcut,12,1002,0,43932.57277098739,0.0009765625,1405842.3286715965,1372.892899093356,75832.57014450782,3660.114233435148,70,29478.82755869455,1420.1931242814048,6,[6.52910953]
3,maxcut,12,1502,0,65679.17719492475,0.0009765625,2101733.670237592,2052.4742873413984,92738.99487507032,5358.590461417844,85,34302.28931931867,2080.2232711568904,4,[7.10279421]
4,maxcut,12,2002,0,87425.60728656873,0.0009765625,2797619.4331701994,2732.050227705273,107304.89255672591,6945.177783787582,96,32135.284452952048,2772.8020313268817,5,[6.4198251]
5,maxcut,12,2502,0,109171.96737440853,0.0009765625,3493502.955981073,3411.6239804502666,120344.90153068694,8531.734653985539,106,41641.8308468509,3439.1129866834185,5,[11.73452335]
6,maxcut,12,3002,0,130918.29238476914,0.0009765625,4189385.3563126125,4091.1966370240357,132288.7882159145,10102.945416546065,115,31435.10711952924,4165.598318801576,7,[5.05695057]
7,maxcut,12,3502,0,152664.59732302322,0.0009765625,4885267.114336743,4770.768666344476,143394.92591748634,11569.321975566158,122,41657.86822228248,4799.0260642048615,5,[11.91902754]
8,maxcut,12,4002,0,174410.88970401374,0.0009765625,5581148.47052844,5450.340303250429,153835.32713240018,13061.165499953642,129,35713.098102196884,5489.401059337153,4,[4.40029798]
9,maxcut,12,4502,0,196157.17370746506,0.0009765625,6277029.558638882,6129.911678358283,163729.7203294536,14496.234666729939,135,42740.42392415473,6158.683441986069,5,[12.07515962]
10,maxcut,12,5002,0,217903.45184337973,0.0009765625,6972910.4589881515,6809.482870105617,173164.79446612357,15950.48420491574,141,43431.49328220938,6836.537477969278,4,[8.95255832]
11,maxcut,12,5502,0,239649.7257101082,0.0009765625,7668791.222723463,7489.0539284408815,182207.41134390046,17424.815349054308,147,44390.12477076183,7518.206031556646,5,[12.20722664]
12,maxcut,12,6002,0,261395.99637379343,0.0009765625,8364671.88396139,8168.624886681045,190909.32713337938,18824.056099932117,152,45344.56241532714,8197.935448693273,5,[12.26542783]
13,maxcut,12,6502,0,283142.26457286166,0.0009765625,9060552.466331573,8848.195767901927,199311.74286930426,20236.873943789713,157,40839.369425023426,8912.972325876864,9,[11.81841651]
14,maxcut,12,7002,0,304888.53083495557,0.0009765625,9756432.986718578,9527.766588592362,207448.3761070744,21663.79156428193,162,42079.69733035324,9569.764083019705,5,[7.41296902]
15,maxcut,12,7502,0,326634.7955471351,0.0009765625,10452313.457508324,10207.337360847972,215345.92338674635,22999.020616846363,166,48249.532619708654,10236.659123049623,5,[12.62410289]
16,maxcut,12,8002,0,348381.05899977346,0.0009765625,11148193.88799275,10886.90809374292,223028.5728898954,24342.467841449794,170,43670.092198023514,10929.333153188902,5,[7.42853035]
17,maxcut,12,8502,0,370127.321414973,0.0009765625,11844074.285279136,11566.478794217906,230515.49650200785,25694.552437774288,174,50679.90600955601,11596.334565578165,5,[12.53136205]
18,maxcut,12,9002,0,391873.58296551555,0.0009765625,12539954.654896498,12246.049467672361,237823.3885619392,27055.60397208543,178,50864.52692012528,12273.571866091443,4,[9.48952151]
19,maxcut,12,9502,0,413619.8437878326,0.0009765625,13235835.001210643,12925.620118369769,244966.89341531653,28425.88221514922,182,46587.83176421987,12972.261813912794,7,[12.49560495]
20,maxcut,12,10002,0,435366.1039910872,0.0009765625,13931715.32771479,13605.190749721474,251958.94273015173,29805.59197321985,186,54224.557965134445,13637.646820506696,8,[23.77481264]
0,maxcut,12,2,1,13.506740319310326,0.3012640178203583,24.608034007561805,7.413515195778082,27.8609480711413,10.919620918473806,2,25.85791611002872,7.790059699769023,6,[1000.]
1,maxcut,12,502,1,31390.21722234971,0.00048828125,1420559.069493903,693.6323581513199,106462.9440638838,1982.2359413889178,52,53441.55936224959,748.7474443063782,8,[8.07131773]
2,maxcut,12,1002,1,62145.629777888564,0.00048828125,2812390.159171433,1373.2373824079264,147650.99981094786,3879.75882649251,75,58944.39808334722,1404.1865251047634,6,[12.17086037]
3,maxcut,12,1502,1,92900.00403649299,0.00048828125,4204174.260893557,2052.8194633269322,179986.48023133853,5675.715438058774,91,61799.52274962224,2083.4132558700503,6,[13.1710956]
