,hamiltonian,nqubits,beta,trial,AA,Psuc,C,C_depth,F,F_depth,F_r,F_fit,F_fit_depth,F_fit_r,F_fit_params
0,rbm,14,2,0,17.34121002535724,0.18744826316833496,40.05333543989715,7.507928162307437,42.12740613267857,11.062939435142958,2,42.127405950347764,11.062939435142958,2,[1.]
1,rbm,14,502,0,88916.33802089535,6.103515625e-05,11381291.266674604,694.6588907882449,833741.5710348412,2189.003515294212,58,332325.8912369187,734.356594294369,5,[5.82670865]
2,rbm,14,1002,0,175906.61740217826,6.103515625e-05,22516047.027478818,1374.2704484545177,1155397.0900818007,4168.662730910057,81,336521.8111396104,1416.4677453289542,5,[6.09770867]
3,rbm,14,1502,0,262893.40594913426,6.103515625e-05,33650355.961489186,2053.8547339776114,1403288.0081683723,6078.31012220172,98,346985.02544460056,2096.1680714012996,5,[6.54736654]
4,rbm,14,2002,0,349879.3125884071,6.103515625e-05,44784552.011316106,2733.4321295969303,1612608.402265544,8005.392354241201,113,352550.8008164299,2776.409156183383,5,[6.71456727]
5,rbm,14,2502,0,436864.86497587163,6.103515625e-05,55918702.71691157,3413.006757623997,1797244.45710627,9840.429169640673,125,385205.47636142396,3440.5955036449336,4,[8.75855076]
6,rbm,14,3002,0,523850.2398219173,6.103515625e-05,67052830.69720542,4092.579998608729,1964339.0906419442,11672.453840993088,136,381708.6483479858,4137.419340655784,6,[9.58139813]
7,rbm,14,3502,0,610835.5130626684,6.103515625e-05,78186945.67202155,4772.152445802097,2118128.5682192566,13563.920043299151,147,340055.7711329598,4812.7506191741795,4,[4.74277051]
8,rbm,14,4002,0,697820.7227330286,6.103515625e-05,89321052.50982766,5451.724396351786,2261396.5387143116,15348.025082455119,156,415767.19627137686,5481.178417670061,5,[12.71913398]
9,rbm,14,4502,0,784805.8899899591,6.103515625e-05,100455153.91871476,6131.296015546555,2396057.969332619,17172.021156804043,165,436008.08462523477,6159.925859193768,5,[13.33481617]
10,rbm,14,5002,0,871791.0275395605,6.103515625e-05,111589251.52506374,6810.867402652816,2523514.7008250672,19036.563206259198,174,406421.6748888866,6838.68190062878,4,[9.61256177]
11,rbm,14,5502,0,958776.1434734517,6.103515625e-05,122723346.36460182,7490.438620886342,2644827.5697210836,20844.30464178211,182,404214.199416789,7532.7137580936,5,[8.03826203]
12,rbm,14,6002,0,1045761.2431892138,6.103515625e-05,133857439.12821937,8170.009712415733,2760819.247522485,22684.212721862634,190,352506.19882865227,8327.817893166579,10,[3.43581035]
13,rbm,14,6502,0,1132746.3304254338,6.103515625e-05,144991530.29445553,8849.580706448702,2872135.062603867,24450.72084761854,197,344144.2607479384,8907.645535214027,5,[4.49218634]
14,rbm,14,7002,0,1219731.4078536066,6.103515625e-05,156125620.20526165,9529.151623856302,2979312.6237021303,26241.81532767428,204,505078.93221236346,9540.710474259828,2,[9.20012598]
15,rbm,14,7502,0,1306716.4774334983,6.103515625e-05,167259709.11148778,10208.722479949205,3082786.707704406,28057.74259290142,211,420271.40744095674,10236.697189115119,4,[10.09604332]
16,rbm,14,8002,0,1393701.5406353648,6.103515625e-05,178393797.2013267,10888.293286213788,3182921.6301321136,29781.7680643026,217,543577.1580597758,10901.653074024745,3,[16.06976038]
17,rbm,14,8502,0,1480686.5985838065,6.103515625e-05,189527884.61872724,11567.864051435989,3280024.5406255606,31644.117969355284,224,547768.8802851941,11581.240886005009,3,[16.1900769]
18,rbm,14,9002,0,1567671.6521537083,6.103515625e-05,200661971.47567466,12247.434782450846,3374360.0763344504,33407.76767960684,230,427138.160701114,12275.376430831695,4,[10.35746473]
19,rbm,14,9502,0,1654656.7020359053,6.103515625e-05,211796057.86059588,12927.00548465551,3466157.273832679,35189.75120945744,236,555699.5540975025,12940.403352759695,3,[16.42097282]
20,rbm,14,10002,0,1741641.748783164,6.103515625e-05,222930143.844245,13606.576162368468,3555614.1306937486,36990.17709900682,242,559464.7895081834,13619.984931554009,3,[16.5263183]
0,rbm,14,2,1,18.623457430727438,0.1636866331100464,46.03134901463692,7.534716537719369,47.484967864770276,11.103682858761161,2,47.484967578928654,11.103682858761161,2,[1.]
1,rbm,14,502,1,88916.33802089535,6.103515625e-05,11381291.266674604,694.6588907882449,833184.0517666199,2220.3823070326325,59,303400.51593691716,751.370513833776,6,[4.67121054]
2,rbm,14,1002,1,175906.61740217826,6.103515625e-05,22516047.027478818,1374.2704484545177,1155264.5850909336,4168.662730910057,81,323628.73644254176,1416.2422137834578,5,[6.15126617]
3,rbm,14,1502,1,262893.40594913426,6.103515625e-05,33650355.961489186,2053.8547339776114,1403225.8039909299,6130.732692374983,99,390875.4948144409,2081.6603261846712,5,[11.76105023]
4,rbm,14,2002,1,349879.3125884071,6.103515625e-05,44784552.011316106,2733.4321295969303,1612568.118332034,8005.392354241201,113,383364.1561778234,2761.9791310544883,5,[11.92588688]
