,hamiltonian,nqubits,beta,trial,AA,Psuc,C,C_depth,F,F_depth,F_r,F_fit,F_fit_depth,F_fit_r,F_fit_params
0,weighted_maxcut,8,2,0,16.372302828008642,0.20908035337924957,35.80578142366422,7.486285433079885,37.87666753032594,11.030047527354025,2,37.876667339049234,11.030047525757826,2,[1.00000004]
1,weighted_maxcut,8,502,0,7832.049153500801,0.0078125,88609.52107242843,692.2618833783471,8112.910362085124,1518.0561509699367,37,3297.6823262324924,730.5828687792231,6,[7.14805506]
2,weighted_maxcut,8,1002,0,15520.813561707402,0.0078125,175597.96030424698,1371.8590648769296,11999.543953587103,2718.2476423611506,47,3799.6754268459654,1433.2132142630048,6,[3.44748321]
3,weighted_maxcut,8,1502,0,23209.37721421135,0.0078125,262584.1282445662,2051.4385019106735,15231.227262385326,3841.2219121401013,54,4658.942178016947,2102.6535381694293,6,[5.51636139]
4,weighted_maxcut,8,2002,0,30897.890222319525,0.0078125,349569.72320895456,2731.0134625699575,18115.092694572013,4891.275732773109,59,5396.231401952982,2782.1347421404407,6,[5.82686585]
5,weighted_maxcut,8,2502,0,38586.38289907645,0.0078125,436555.08815036155,3410.5866261746996,20773.848510552354,5898.277479621476,63,6733.2160731702115,3435.81214834332,5,[12.01432202]
6,weighted_maxcut,8,3002,0,46274.865389631355,0.0078125,523540.337848048,4090.158889437875,23270.630095222423,6912.9789095452725,67,7299.926029786917,4125.6334592119765,5,[7.66129093]
7,weighted_maxcut,8,3502,0,53963.342051941356,0.0078125,610525.5216066707,4769.730637552115,25643.940494617593,7938.062472168493,71,7677.96838006309,4807.31850068573,5,[7.18557513]
8,weighted_maxcut,8,4002,0,61651.81506828658,0.0078125,697510.6641159107,5449.302063405552,27918.082810995318,8906.196942541881,74,8807.670347444158,5484.873129223446,5,[7.95616463]
9,weighted_maxcut,8,4502,0,69340.28565235142,0.0078125,784495.7791070393,6128.873274273745,30111.15166439316,9879.579256146548,77,9626.071861385239,6154.7271318724115,5,[12.67408202]
10,weighted_maxcut,8,5002,0,77028.75453293516,0.0078125,871480.8748254795,6808.444334574058,32235.50843725904,10783.770117968794,79,10346.827851911608,6834.282594334284,5,[12.86307751]
11,weighted_maxcut,8,5502,0,84717.22217411133,0.0078125,958465.9565216237,7488.015285325185,34301.08946434195,11766.845703324554,82,10511.209576134765,7525.850242390585,5,[7.59663836]
12,weighted_maxcut,8,6002,0,92405.68888541868,0.0078125,1045451.0276975031,8167.586153886743,36315.543559478836,12675.826807830264,84,11357.27170975873,8208.463033123666,7,[12.84016345]
13,weighted_maxcut,8,6502,0,100094.15488124208,0.0078125,1132436.0907786055,8847.156959207856,38285.0780861912,13586.640912603136,86,12540.488764371963,8874.188773348284,6,[16.82774274]
14,weighted_maxcut,8,7002,0,107782.62031476667,0.0078125,1219421.1474980232,9526.727714828306,40214.09555166691,14586.356667749274,89,13363.038438296831,9555.73512102689,8,[23.97158105]
15,weighted_maxcut,8,7502,0,115471.08529836127,0.0078125,1306406.1991270643,10206.29843068019,42106.98836480333,15504.535264830643,91,13338.305137633772,10276.941326637436,9,[9.81615436]
16,weighted_maxcut,8,8002,0,123159.54991632378,0.0078125,1393391.2466194504,10885.869114214456,43967.26876826224,16425.48985975878,93,14592.131783279203,10910.329737806265,4,[9.98170513]
17,weighted_maxcut,8,8502,0,130848.01423313149,0.0078125,1480376.2907046587,11565.439771130146,45797.83915365848,17255.46399408422,94,19492.24632042815,11578.19076986583,3,[14.60398723]
18,weighted_maxcut,8,9002,0,138536.47829894297,0.0078125,1567361.331950169,12245.010405860696,47600.75102794351,18180.22142066564,96,16033.089540932175,12269.774006659693,4,[9.98143614]
19,weighted_maxcut,8,9502,0,146224.94215336393,0.0078125,1654346.3708040686,12924.581021906786,49378.602358532655,19108.30143738473,98,21143.17841130907,12937.285756948002,3,[14.90703902]
20,weighted_maxcut,8,10002,0,153913.40582808372,0.0078125,1741331.4076248815,13604.151622069387,51133.41837938511,20039.803062270228,100,21891.60652288409,13625.756314034426,4,[11.76082559]
0,weighted_maxcut,8,2,1,15.635959520562222,0.22817476093769073,32.73337119013694,7.46892914599419,34.44443333384129,11.003686428570152,2,34.444431982895665,11.003686378000793,2,[1.00000116]
1,weighted_maxcut,8,502,1,3912.144000018108,0.03125,22130.428411128552,691.5758878477673,2913.137193597851,1130.668377889104,23,1338.3962285860787,724.272799381006,5,[5.88791813]
2,weighted_maxcut,8,1002,1,7756.506134868166,0.03125,43877.424690242704,1371.1695215700845,4608.803345653185,2055.350993217475,29,2056.6390527956573,1405.5355949187292,5,[6.23784084]
3,weighted_maxcut,8,1502,1,11600.781201203867,0.03125,65623.92843546142,2050.7477636081694,6108.748383749688,2928.851328593247,33,2768.753896238398,2085.5724009768946,5,[6.56625775]
4,weighted_maxcut,8,2002,1,15445.034311995165,0.03125,87370.30798136548,2730.322124417671,7504.000476958538,3770.803296034152,36,3672.7208820259425,2753.8741850590372,5,[11.92796809]
