,hamiltonian,nqubits,beta,trial,AA,Psuc,C,C_depth,F,F_depth,F_r,F_fit,F_fit_depth,F_fit_r,F_fit_params
0,rbm,5,2,0,12.241710847996375,0.27791929244995117,23.221098968106528,6.453591395126457,25.389172324258773,9.48862148668207,2,25.389172142006164,9.48862144375937,2,[1.00000082]
1,rbm,5,502,0,3899.2324063676874,0.03125,22057.389407719453,689.2934189912329,2866.8484723896477,1095.6292776024031,23,1341.1542662849727,729.276033745898,6,[4.7027728]
2,rbm,5,1002,0,7743.538040628129,0.03125,43804.06607123314,1368.8770647260355,4538.48300982132,2007.3187548839833,29,2123.4352887934347,1397.4524187566988,5,[6.34023543]
3,rbm,5,1502,0,11587.794097905526,0.03125,65550.4622849796,2048.4519464056125,6021.293362776851,2871.7367259986736,33,2818.186227704368,2078.006389994747,5,[6.44700796]
4,rbm,5,2002,0,15432.037670923384,0.03125,87296.78787708945,2728.024621159045,7403.476062679691,3706.6271486180917,36,3515.604123213436,2758.266286802798,5,[6.51385197]
5,rbm,5,2502,0,19276.276235722165,0.03125,109043.08513843393,3407.5964105760604,8719.452618996283,4548.552426183533,39,4304.477016172916,3446.2601853901174,10,[16.79685236]
6,rbm,5,3002,0,23120.512292366195,0.03125,130789.36821151254,4087.167756609767,9987.790025609855,5398.951055941524,42,5103.039957277046,4117.743874755284,8,[15.91591769]
7,rbm,5,3502,0,26964.746914290165,0.03125,152535.64316858887,4766.738849018402,11219.0959833447,6205.556618908209,44,5835.748336270591,4787.5053872858125,5,[12.14873716]
8,rbm,5,4002,0,30808.98063886195,0.03125,174281.9130494747,5446.309782796085,12421.005725157433,7015.465414134727,46,6365.555050474428,5484.853302383908,10,[17.89878373]
9,rbm,5,4502,0,34653.21376487664,0.03125,196028.17954441026,6125.880610762821,13598.441108999514,7829.102673608575,48,7124.316493701118,6157.829546747598,8,[15.9118006]
10,rbm,5,5002,0,38497.44647172717,0.03125,217774.4436681953,6805.451364631103,14755.280663376294,8646.727059874882,50,7606.300621439835,6862.66243103261,8,[7.42546396]
11,rbm,5,5502,0,42341.67887363024,0.03125,239520.70606693698,7485.022064591781,15894.450967166698,9405.956140792447,51,8374.431901321255,7515.537147294096,5,[7.46756971]
12,rbm,5,6002,0,46185.91104676109,0.03125,261266.96717154756,8164.592724110861,17017.389084531984,10229.590128266866,53,9064.778398094177,8195.185025021045,5,[7.52754828]
13,rbm,5,6502,0,50030.14304387389,0.03125,283013.2272804497,8844.163352514053,18127.342927171994,10990.991290253369,54,10063.560531488574,8865.314532296117,5,[12.87509371]
14,rbm,5,7002,0,53874.374902660675,0.03125,304759.4866068617,9523.733956464428,19224.05114480845,11821.09084503576,56,10474.28970075465,9561.739248453701,10,[19.43500627]
15,rbm,5,7502,0,57718.60665076874,0.03125,326505.74530718033,10203.304540849385,20310.191082202906,12585.17298427039,57,11192.83074644829,10250.993544906465,12,[19.99492096]
16,rbm,5,8002,0,61562.83830893777,0.03125,348252.00349872693,10882.875109335217,21386.39411209733,13421.957026216647,59,11861.284056155197,10926.239062357614,10,[16.95286717]
17,rbm,5,8502,0,65407.06989303028,0.03125,369998.2612712335,11562.445664726047,22452.812483723017,14189.010928608921,60,12556.624663250412,11615.828121960174,13,[20.18723972]
18,rbm,5,9002,0,69251.30141538572,0.03125,391744.5186945025,12242.016209203202,23510.9709835543,14956.889023946678,61,13529.845355858253,12267.715012931409,11,[34.78077569]
19,rbm,5,9502,0,73095.53288574706,0.03125,413490.7758236483,12921.58674448901,24561.424912253624,15725.651244793537,62,14038.58905092796,12953.181340331468,8,[17.57057963]
20,rbm,5,10002,0,76939.76431190965,0.03125,435237.0327027683,13601.157271961509,25604.67670065712,16495.346086706453,63,14496.648665418712,13655.659462956126,9,[10.9847576]
0,rbm,5,2,1,13.705902639303917,0.22499744594097137,28.894743817121864,6.501243559971093,30.538507214370213,9.558475476628074,2,30.532084643059562,9.560237408767943,2,[0.94514574]
1,rbm,5,502,1,3899.2324063676874,0.03125,22057.389407719453,689.2934189912329,2831.0452536668226,1095.6292776024031,23,1443.4622805561894,696.8915850143306,2,[5.74581472]
2,rbm,5,1002,1,7743.538040628129,0.03125,43804.06607123314,1368.8770647260355,4514.816896058059,2007.3187548839833,29,2067.6762785235733,1391.1021094547195,6,[12.62164382]
3,rbm,5,1502,1,11587.794097905526,0.03125,65550.4622849796,2048.4519464056125,6004.617612237094,2871.7367259986736,33,2677.481709756248,2078.113793601104,5,[6.40953742]
4,rbm,5,2002,1,15432.037670923384,0.03125,87296.78787708945,2728.024621159045,7391.443432985188,3706.6271486180917,36,3512.313006038364,2747.806644407975,5,[11.90518141]
5,rbm,5,2502,1,19276.276235722165,0.03125,109043.08513843393,3407.5964105760604,8710.31028878954,4548.552426183533,39,4188.75905820812,3427.7278039890125,5,[12.03918632]
6,rbm,5,3002,1,23120.512292366195,0.03125,130789.36821151254,4087.167756609767,9980.567409753188,5398.951055941524,42,4870.305621441408,4107.568384714651,5,[12.1548591]
7,rbm,5,3502,1,26964.746914290165,0.03125,152535.64316858887,4766.738849018402,11213.60084674825,6205.556618908209,44,5543.090020552545,4786.203758496718,4,[8.85903569]
8,rbm,5,4002,1,30808.98063886195,0.03125,174281.9130494747,5446.309782796085,12416.7323734876,7015.465414134727,46,6234.100579173368,5465.82559062517,4,[8.99876111]
9,rbm,5,4502,1,34653.21376487664,0.03125,196028.17954441026,6125.880610762821,13595.053224767236,7829.102673608575,48,6924.216750001293,6145.36197833598,4,[9.17355046]
10,rbm,5,5002,1,38497.44647172717,0.03125,217774.4436681953,6805.451364631103,14752.548318578853,8646.727059874882,50,7619.546660978525,6826.288629653701,5,[12.68435984]
11,rbm,5,5502,1,42341.67887363024,0.03125,239520.70606693698,7485.022064591781,15892.386433268048,9405.956140792447,51,8306.396528798814,7505.9677807660455,5,[12.75938348]
12,rbm,5,6002,1,46185.91104676109,0.03125,261266.96717154756,8164.592724110861,17015.676506324842,10229.590128266866,53,8892.850955944523,8192.472434149491,4,[5.05094579]
13,rbm,5,6502,1,50030.14304387389,0.03125,283013.2272804497,8844.163352514053,18125.913809655714,11057.593001662442,55,9998.159182778922,8853.934145534346,3,[14.66383936]
14,rbm,5,7002,1,53874.374902660675,0.03125,304759.4866068617,9523.733956464428,19222.92849907092,11821.09084503576,56,10638.154320301612,9531.907771682143,2,[8.67875562]
15,rbm,5,7502,1,57718.60665076874,0.03125,326505.74530718033,10203.304540849385,20309.30893070394,12585.17298427039,57,11376.950515362263,10213.079865726746,3,[14.95097735]
16,rbm,5,8002,1,61562.83830893777,0.03125,348252.00349872693,10882.875109335217,21385.62881777484,13421.957026216647,59,11684.628895853855,10919.738572695498,10,[20.40970905]
17,rbm,5,8502,1,65407.06989303028,0.03125,369998.2612712335,11562.445664726047,22452.201122604583,14189.010928608921,60,12819.411836926622,11574.645304877815,7,[39.97463394]
18,rbm,5,9002,1,69251.30141538572,0.03125,391744.5186945025,12242.016209203202,23510.47946727398,14956.889023946678,61,13440.652495476916,12251.804715325541,3,[15.30163233]
19,rbm,5,9502,1,73095.53288574706,0.03125,413490.7758236483,12921.58674448901,24561.02729854023,15725.651244793537,62,13784.514107085868,12941.257410360859,4,[10.01060676]
20,rbm,5,10002,1,76939.76431190965,0.03125,435237.0327027683,13601.157271961509,25604.353133111803,16495.346086706453,63,14829.59248900476,13610.859874010263,3,[15.70711853]
0,rbm,5,2,2,13.563962572362538,0.2294216752052307,28.31844222246896,6.496864453881366,30.10686092575127,9.552050715475328,2,30.094743083485763,9.553865956836741,2,[0.93967933]
1,rbm,5,502,2,3899.2324063676874,0.03125,22057.389407719453,689.2934189912329,2830.921249500576,1095.6292776024031,23,1270.5286404858907,716.8594350156714,5,[5.8814323]
2,rbm,5,1002,2,7743.538040628129,0.03125,43804.06607123314,1368.8770647260355,4514.811546331738,2007.3187548839833,29,2057.1246140797834,1390.989989270215,6,[12.69873077]
3,rbm,5,1502,2,11587.794097905526,0.03125,65550.4622849796,2048.4519464056125,6004.617298611629,2871.7367259986736,33,2762.745314887252,2070.5883879009107,6,[13.48113642]
4,rbm,5,2002,2,15432.037670923384,0.03125,87296.78787708945,2728.024621159045,7391.443404586162,3706.6271486180917,36,3368.199389219887,2758.06728256353,5,[6.58405351]
5,rbm,5,2502,2,19276.276235722165,0.03125,109043.08513843393,3407.5964105760604,8710.31028878954,4548.552426183533,39,4090.630724259803,3446.7106218982885,6,[6.59608195]
6,rbm,5,3002,2,23120.512292366195,0.03125,130789.36821151254,4087.167756609767,9980.567409753188,5398.951055941524,42,4750.292465844177,4117.279454708031,5,[6.98746307]
7,rbm,5,3502,2,26964.746914290165,0.03125,152535.64316858887,4766.738849018402,11213.60084674825,6205.556618908209,44,5528.129267440047,4787.380920317005,5,[12.23845426]
8,rbm,5,4002,2,30808.98063886195,0.03125,174281.9130494747,5446.309782796085,12416.7323734876,7015.465414134727,46,6191.027476800096,5475.122018121395,5,[7.78475782]
9,rbm,5,4502,2,34653.21376487664,0.03125,196028.17954441026,6125.880610762821,13595.053224767236,7829.102673608575,48,6902.580808041586,6146.735932343929,5,[12.49763376]
10,rbm,5,5002,2,38497.44647172717,0.03125,217774.4436681953,6805.451364631103,14752.548318578853,8646.727059874882,50,7589.631111059623,6826.309885034624,5,[12.66846795]
11,rbm,5,5502,2,42341.67887363024,0.03125,239520.70606693698,7485.022064591781,15892.386433268048,9405.956140792447,51,8167.394150136106,7513.170382929735,4,[4.88715855]
12,rbm,5,6002,2,46185.91104676109,0.03125,261266.96717154756,8164.592724110861,17015.676506324842,10229.590128266866,53,8852.296761241796,8192.803847971229,4,[4.9297446]
13,rbm,5,6502,2,50030.14304387389,0.03125,283013.2272804497,8844.163352514053,18125.913809655714,11057.593001662442,55,9912.412613105736,8853.829997355078,3,[14.87458663]
14,rbm,5,7002,2,53874.374902660675,0.03125,304759.4866068617,9523.733956464428,19222.92849907092,11821.09084503576,56,10600.846480032715,9533.40051412581,3,[15.03047394]
15,rbm,5,7502,2,57718.60665076874,0.03125,326505.74530718033,10203.304540849385,20309.30893070394,12585.17298427039,57,11356.351505653422,10215.375998966178,7,[39.88567362]
16,rbm,5,8002,2,61562.83830893777,0.03125,348252.00349872693,10882.875109335217,21385.62881777484,13421.957026216647,59,11976.317740319826,10892.533050845079,3,[15.32937632]
17,rbm,5,8502,2,65407.06989303028,0.03125,369998.2612712335,11562.445664726047,22452.201122604583,14189.010928608921,60,12341.571487062214,11597.815474693687,9,[18.34352238]
18,rbm,5,9002,2,69251.30141538572,0.03125,391744.5186945025,12242.016209203202,23510.47946727398,14956.889023946678,61,13416.648228478987,12254.014879979835,7,[40.9548666]
19,rbm,5,9502,2,73095.53288574706,0.03125,413490.7758236483,12921.58674448901,24561.02729854023,15725.651244793537,62,13742.401820937146,12941.168878487959,4,[10.07325458]
20,rbm,5,10002,2,76939.76431190965,0.03125,435237.0327027683,13601.157271961509,25604.353133111803,16495.346086706453,63,14425.708970779126,13620.764605853536,4,[10.12194656]
0,rbm,5,2,3,12.001305849658998,0.2884133458137512,22.34708224719537,6.445196760088699,24.650698374719678,9.476329020904618,2,24.65069834033105,9.476328921680604,2,[1.00000188]
1,rbm,5,502,3,3899.2324063676874,0.03125,22057.389407719453,689.2934189912329,2833.5809548475872,1095.6292776024031,23,1347.948515334316,716.9140222812224,5,[5.8626893]
2,rbm,5,1002,3,7743.538040628129,0.03125,43804.06607123314,1368.8770647260355,4515.256687054751,2007.3187548839833,29,2099.1905585208206,1401.4226411273467,7,[10.09091245]
3,rbm,5,1502,3,11587.794097905526,0.03125,65550.4622849796,2048.4519464056125,6004.710710239631,2871.7367259986736,33,2896.950927938545,2071.509927011996,6,[12.83083363]
4,rbm,5,2002,3,15432.037670923384,0.03125,87296.78787708945,2728.024621159045,7391.465257643789,3706.6271486180917,36,3493.147634426703,2757.550475521303,5,[6.76821119]
5,rbm,5,2502,3,19276.276235722165,0.03125,109043.08513843393,3407.5964105760604,8710.316660299448,4548.552426183533,39,4386.271513028449,3427.895268899082,5,[11.92116573]
6,rbm,5,3002,3,23120.512292366195,0.03125,130789.36821151254,4087.167756609767,9980.569619726388,5398.951055941524,42,4884.341406953398,4115.389175765004,4,[4.39662578]
7,rbm,5,3502,3,26964.746914290165,0.03125,152535.64316858887,4766.738849018402,11213.601523307829,6205.556618908209,44,5570.223483640789,4798.703701981823,6,[9.44200171]
8,rbm,5,4002,3,30808.98063886195,0.03125,174281.9130494747,5446.309782796085,12416.7326028741,7015.465414134727,46,6434.566215269456,5467.300563877209,5,[12.20535414]
9,rbm,5,4502,3,34653.21376487664,0.03125,196028.17954441026,6125.880610762821,13595.053313834369,7829.102673608575,48,6960.751045459551,6156.201518747934,5,[7.33354392]
10,rbm,5,5002,3,38497.44647172717,0.03125,217774.4436681953,6805.451364631103,14752.548342163793,8646.727059874882,50,7807.425640075863,6826.74447081124,5,[12.34398321]
11,rbm,5,5502,3,42341.67887363024,0.03125,239520.70606693698,7485.022064591781,15892.386433268048,9405.956140792447,51,8495.15484325212,7506.441663667481,5,[12.40179536]
12,rbm,5,6002,3,46185.91104676109,0.03125,261266.96717154756,8164.592724110861,17015.676506324842,10229.590128266866,53,9183.61429476326,8186.12710951948,5,[12.45322713]
13,rbm,5,6502,3,50030.14304387389,0.03125,283013.2272804497,8844.163352514053,18125.913809655714,11057.593001662442,55,9732.853496373673,8873.081005356595,4,[4.71274467]
14,rbm,5,7002,3,53874.374902660675,0.03125,304759.4866068617,9523.733956464428,19222.92849907092,11821.09084503576,56,10562.264062492275,9545.40863596302,5,[12.58867889]
15,rbm,5,7502,3,57718.60665076874,0.03125,326505.74530718033,10203.304540849385,20309.30893070394,12585.17298427039,57,11251.567028207122,10224.916778864828,5,[12.74607681]
16,rbm,5,8002,3,61562.83830893777,0.03125,348252.00349872693,10882.875109335217,21385.62881777484,13421.957026216647,59,12587.913929351764,10895.794133115327,7,[37.15264945]
17,rbm,5,8502,3,65407.06989303028,0.03125,369998.2612712335,11562.445664726047,22452.201122604583,14189.010928608921,60,13260.829825580942,11572.529251780525,3,[14.51966235]
18,rbm,5,9002,3,69251.30141538572,0.03125,391744.5186945025,12242.016209203202,23510.47946727398,14956.889023946678,61,13932.471165849007,12252.145319904199,3,[14.52341831]
19,rbm,5,9502,3,73095.53288574706,0.03125,413490.7758236483,12921.58674448901,24561.02729854023,15725.651244793537,62,14016.255844598249,12941.855856784145,4,[9.57462416]
20,rbm,5,10002,3,76939.76431190965,0.03125,435237.0327027683,13601.157271961509,25604.353133111803,16495.346086706453,63,15304.966673294995,13611.35263895239,3,[14.56483281]
0,rbm,5,2,4,12.009215554968264,0.28805848956108093,22.375579948822764,6.445475763111094,24.70072357923337,9.476737507360685,2,24.70072293674815,9.476737496424677,2,[1.00000021]
1,rbm,5,502,4,3899.2324063676874,0.03125,22057.389407719453,689.2934189912329,2832.3221666682966,1095.6292776024031,23,1278.2683345173325,738.298414804502,6,[3.00511782]
2,rbm,5,1002,4,7743.538040628129,0.03125,43804.06607123314,1368.8770647260355,4514.9957762061495,2007.3187548839833,29,2156.3287913343815,1391.8799289687117,6,[12.10085987]
3,rbm,5,1502,4,11587.794097905526,0.03125,65550.4622849796,2048.4519464056125,6004.64884200348,2871.7367259986736,33,2864.795291505292,2068.2458370324125,4,[7.57253099]
4,rbm,5,2002,4,15432.037670923384,0.03125,87296.78787708945,2728.024621159045,7391.44949617808,3706.6271486180917,36,3467.8217149415213,2758.244033547481,5,[6.52168482]
5,rbm,5,2502,4,19276.276235722165,0.03125,109043.08513843393,3407.5964105760604,8710.311781359802,4548.552426183533,39,4280.164699796414,3427.5375831752835,4,[8.12761394]
6,rbm,5,3002,4,23120.512292366195,0.03125,130789.36821151254,4087.167756609767,9980.567851747823,5398.951055941524,42,5030.446866092997,4107.749430125691,5,[12.02589107]
7,rbm,5,3502,4,26964.746914290165,0.03125,152535.64316858887,4766.738849018402,11213.600962729892,6205.556618908209,44,5553.197545706158,4797.2746046036045,5,[6.9926399]
8,rbm,5,4002,4,30808.98063886195,0.03125,174281.9130494747,5446.309782796085,12416.732415194238,7015.465414134727,46,6390.215507195894,5467.3023692448505,5,[12.20403911]
9,rbm,5,4502,4,34653.21376487664,0.03125,196028.17954441026,6125.880610762821,13595.053224767236,7829.102673608575,48,7015.829294800311,6155.096364426424,5,[7.75482722]
10,rbm,5,5002,4,38497.44647172717,0.03125,217774.4436681953,6805.451364631103,14752.548318578853,8646.727059874882,50,7626.160962505954,6835.987378106816,5,[7.36124805]
11,rbm,5,5502,4,42341.67887363024,0.03125,239520.70606693698,7485.022064591781,15892.386433268048,9405.956140792447,51,8426.621365128067,7512.692100864271,4,[5.0598339]
12,rbm,5,6002,4,46185.91104676109,0.03125,261266.96717154756,8164.592724110861,17015.676506324842,10229.590128266866,53,9022.954844938138,8201.88383447878,9,[16.58491115]
13,rbm,5,6502,4,50030.14304387389,0.03125,283013.2272804497,8844.163352514053,18125.913809655714,11057.593001662442,55,9682.25763191457,8875.14282575922,5,[7.45962773]
14,rbm,5,7002,4,53874.374902660675,0.03125,304759.4866068617,9523.733956464428,19222.92849907092,11821.09084503576,56,10509.75789530691,9545.22713165891,5,[12.72967628]
15,rbm,5,7502,4,57718.60665076874,0.03125,326505.74530718033,10203.304540849385,20309.30893070394,12585.17298427039,57,11196.690868665859,10224.872242979189,5,[12.78098827]
16,rbm,5,8002,4,61562.83830893777,0.03125,348252.00349872693,10882.875109335217,21385.62881777484,13421.957026216647,59,11775.527425953856,10921.475032309037,10,[19.39078258]
17,rbm,5,8502,4,65407.06989303028,0.03125,369998.2612712335,11562.445664726047,22452.201122604583,14189.010928608921,60,13067.8191596121,11572.522528238722,3,[14.53543876]
18,rbm,5,9002,4,69251.30141538572,0.03125,391744.5186945025,12242.016209203202,23510.47946727398,14956.889023946678,61,13759.614415195452,12252.093614943034,3,[14.64685366]
19,rbm,5,9502,4,73095.53288574706,0.03125,413490.7758236483,12921.58674448901,24561.02729854023,15725.651244793537,62,14451.856687685273,12931.644264834575,3,[14.80099418]
