,hamiltonian,nqubits,beta,trial,AA,Psuc,C,C_depth,F,F_depth,F_r,F_fit,F_fit_depth,F_fit_r,F_fit_params
0,weighted_maxcut,6,2,0,9.413876193564358,0.4538096785545349,13.974349647618553,6.341695121594453,16.83463917400456,9.325099491532885,2,14.777318994133074,6.706090382625354,5,[1000.]
1,weighted_maxcut,6,502,0,3899.2305443930013,0.03125002980232239,22057.368357029696,689.2934185179809,2917.5033744756374,1071.1717067465552,22,1653.1613162397364,728.12488039833,7,[6.93207026]
2,weighted_maxcut,6,1002,0,7743.538040628129,0.03125,43804.06607123314,1368.8770647260355,4571.520071245158,1975.0883100275953,28,2339.354215237357,1411.449193393606,6,[4.84251287]
3,weighted_maxcut,6,1502,0,11587.794097905526,0.03125,65550.4622849796,2048.4519464056125,6047.736614569951,2871.7367259986736,33,3092.4785493691797,2091.3226394234434,7,[7.30421182]
4,weighted_maxcut,6,2002,0,15432.037670923384,0.03125,87296.78787708945,2728.024621159045,7425.294459223465,3706.6271486180917,36,3813.442380651277,2768.9171740839474,6,[5.90663768]
5,weighted_maxcut,6,2502,0,19276.276235722165,0.03125,109043.08513843393,3407.5964105760604,8738.432013522937,4548.552426183533,39,4869.12884542786,3432.853355264115,6,[12.27797879]
6,weighted_maxcut,6,3002,0,23120.512292366195,0.03125,130789.36821151254,4087.167756609767,10004.76340415695,5398.951055941524,42,5506.358288054507,4115.453182903925,4,[4.37279787]
7,weighted_maxcut,6,3502,0,26964.746914290165,0.03125,152535.64316858887,4766.738849018402,11233.97143877708,6205.556618908209,44,6282.123060335249,4795.593867755109,8,[17.35401721]
8,weighted_maxcut,6,4002,0,30808.98063886195,0.03125,174281.9130494747,5446.309782796085,12434.186557618781,7015.465414134727,46,6733.273725428477,5486.943140536677,10,[16.83984923]
9,weighted_maxcut,6,4502,0,34653.21376487664,0.03125,196028.17954441026,6125.880610762821,13610.219742458632,7829.102673608575,48,7375.269188422022,6174.903144264081,11,[15.9321618]
10,weighted_maxcut,6,5002,0,38497.44647172717,0.03125,217774.4436681953,6805.451364631103,14765.882202484494,8646.727059874882,50,7970.372718429192,6854.173156295851,8,[9.43026095]
11,weighted_maxcut,6,5502,0,42341.67887363024,0.03125,239520.70606693698,7485.022064591781,15903.636278504257,9405.956140792447,51,8855.441801865745,7522.017320782901,9,[16.56581807]
12,weighted_maxcut,6,6002,0,46185.91104676109,0.03125,261266.96717154756,8164.592724110861,17025.75051316819,10229.590128266866,53,9339.272242689973,8214.906869084318,8,[9.23049928]
13,weighted_maxcut,6,6502,0,50030.14304387389,0.03125,283013.2272804497,8844.163352514053,18134.639131730648,10990.991290253369,54,10004.758266501998,8900.034185188752,7,[5.88101565]
14,weighted_maxcut,6,7002,0,53874.374902660675,0.03125,304759.4866068617,9523.733956464428,19230.761056628922,11821.09084503576,56,10772.624312895914,9568.416040655875,6,[6.09749666]
15,weighted_maxcut,6,7502,0,57718.60665076874,0.03125,326505.74530718033,10203.304540849385,20316.086746947352,12585.17298427039,57,11507.842843141712,10263.180747527244,13,[17.47012227]
16,weighted_maxcut,6,8002,0,61562.83830893777,0.03125,348252.00349872693,10882.875109335217,21391.763232554706,13349.952577252056,58,12177.61993126102,10933.523114500049,11,[16.43820578]
17,weighted_maxcut,6,8502,0,65407.06989303028,0.03125,369998.2612712335,11562.445664726047,22457.65354595303,14189.010928608921,60,12751.456779313357,11620.569332734121,7,[5.66446077]
18,weighted_maxcut,6,9002,0,69251.30141538572,0.03125,391744.5186945025,12242.016209203202,23515.263407765702,14956.889023946678,61,13498.795173293249,12399.36413273102,14,[5.48233593]
19,weighted_maxcut,6,9502,0,73095.53288574706,0.03125,413490.7758236483,12921.58674448901,24565.240096234753,15725.651244793537,62,14283.659345676111,12979.092752915692,14,[21.04847777]
20,weighted_maxcut,6,10002,0,76939.76431190965,0.03125,435237.0327027683,13601.157271961509,25608.076003299033,16495.346086706453,63,14926.323549020239,13672.158677094405,14,[16.67015417]
0,weighted_maxcut,6,2,1,11.99599988837181,0.2886517643928528,22.327975390316492,6.4450094917350516,24.455643694610156,9.476054845045702,2,24.455643565749675,9.476054845045702,2,[1.]
