,hamiltonian,nqubits,beta,trial,AA,Psuc,C,C_depth,F,F_depth,F_r,F_fit,F_fit_depth,F_fit_r,F_fit_params
0,heisenberg_fully_connected,5,2,0,10.098043282271105,0.2771231532096863,19.182306318475135,5.315861212809918,20.995506214349543,7.860023712741102,2,20.645150384417637,5.7212491730179815,5,[1000.]
1,heisenberg_fully_connected,5,502,0,2746.641794534162,0.0625,10986.567178136647,686.6604486335405,1828.7237892952212,940.5613079358981,18,970.1286482039656,701.3756664902763,4,[6.51987166]
2,heisenberg_fully_connected,5,1002,0,5464.944179204555,0.0625,21859.77671681822,1366.2360448011389,3072.368631306642,1771.849744657273,23,1681.7279230599324,1383.9038009368726,6,[12.25959424]
3,heisenberg_fully_connected,5,1502,0,8183.232894169858,0.0625,32732.93157667943,2045.8082235424645,4211.78942377564,2561.953387974851,26,2344.976357854338,2070.996784293874,6,[8.18763566]
4,heisenberg_fully_connected,5,2002,0,10901.518172375572,0.0625,43606.07268950229,2725.379543093893,5295.077667788682,3360.550613439452,29,3052.2572502954754,2747.610007345514,5,[7.03627995]
5,heisenberg_fully_connected,5,2502,0,13619.802072765297,0.0625,54479.208291061186,3404.950518191324,6341.726804946807,4129.224041965342,31,3746.5989830943427,3419.7782188831607,4,[8.43937081]
6,heisenberg_fully_connected,5,3002,0,16338.085283380344,0.0625,65352.341133521375,4084.521320845086,7361.574224780412,4901.760256447034,33,4437.217640455368,4100.4851356329145,5,[11.87623688]
7,heisenberg_fully_connected,5,3502,0,19056.368099519597,0.0625,76225.47239807839,4764.092024879899,8360.64601999034,5678.580801181581,35,5124.886626600637,4779.976174073943,5,[12.19759815]
8,heisenberg_fully_connected,5,4002,0,21774.650668971855,0.0625,87098.60267588742,5443.662667242964,9343.376448022413,6459.894241724042,37,5804.835938826185,5459.676211070922,5,[12.2813943]
9,heisenberg_fully_connected,5,4502,0,24492.933073897126,0.0625,97971.7322955885,6123.233268474281,10312.257995378986,7196.60455824081,38,6486.476749055997,6139.357984179209,5,[12.3549312]
10,heisenberg_fully_connected,5,5002,0,27211.215363616226,0.0625,108844.8614544649,6802.803840904056,11269.546009869968,7984.75409511027,40,7169.3696289905465,6818.987462800874,5,[12.45928926]
11,heisenberg_fully_connected,5,5502,0,29929.497569527444,0.0625,119717.99027810978,7482.374392381861,12216.527223158027,8724.45993596979,41,7852.427802309409,7498.50385223317,5,[12.66330407]
12,heisenberg_fully_connected,5,6002,0,32647.779712569565,0.0625,130591.11885027826,8161.944928142391,13155.0418939253,9465.049241989333,42,8534.93760548005,8178.081636488141,5,[12.79156552]
13,heisenberg_fully_connected,5,6502,0,35366.06180724241,0.0625,141464.24722896965,8841.515451810603,14085.89140554209,10206.607902022735,43,9180.176374307244,8862.997066434576,4,[4.97122759]
14,heisenberg_fully_connected,5,7002,0,38084.34386390523,0.0625,152337.37545562093,9521.085965976308,15009.507715865619,11006.736933222113,45,10025.725227286506,9528.43188332632,3,[14.90456761]
15,heisenberg_fully_connected,5,7502,0,40802.62589015621,0.0625,163210.50356062484,10200.656472539053,15926.740072701637,11751.802610308978,46,10714.948538141078,10207.951497344635,3,[15.2115687]
16,heisenberg_fully_connected,5,8002,0,43520.90789169487,0.0625,174083.63156677948,10880.226972923718,16838.341039973853,12497.959042114793,47,11419.387344003668,10889.522048840789,7,[39.94416354]
17,heisenberg_fully_connected,5,8502,0,46239.18987288027,0.0625,184956.75949152108,11559.797468220067,17744.779998576323,13245.235789566354,48,12075.619184241126,11567.137807168492,3,[15.30936667]
18,heisenberg_fully_connected,5,9002,0,48957.47183710321,0.0625,195829.88734841283,12239.367959275802,18646.479456367426,13993.6557726732,49,12758.468184126206,12246.708473831339,3,[15.42270759]
19,heisenberg_fully_connected,5,9502,0,51675.75378704087,0.0625,206703.01514816348,12918.938446760218,19543.821808078264,14743.236948319754,50,13467.769728340283,12928.189502433057,7,[40.86193973]
20,heisenberg_fully_connected,5,10002,0,54394.035724835274,0.0625,217576.1428993411,13598.508931208818,20436.738017714863,15428.331046643938,50,14164.318666479525,13607.252410036534,6,[35.4169592]
0,heisenberg_fully_connected,5,2,1,11.280270678992318,0.2266635298728943,23.693471506484293,5.370445886602572,24.816096150344034,7.9364269648499555,2,24.77802130453555,7.921398079997781,2,[1.14378797]
1,heisenberg_fully_connected,5,502,1,2746.641794534162,0.0625,10986.567178136647,686.6604486335405,1828.7383645593009,940.5613079358981,18,970.0591320146835,703.2547629792307,6,[11.87945572]
2,heisenberg_fully_connected,5,1002,1,5464.944179204555,0.0625,21859.77671681822,1366.2360448011389,3072.3689225078515,1771.849744657273,23,1670.7545313036724,1383.502078240149,6,[12.61159507]
3,heisenberg_fully_connected,5,1502,1,8183.232894169858,0.0625,32732.93157667943,2045.8082235424645,4211.78943697959,2561.953387974851,26,2394.894973219206,2060.6180898098496,5,[11.82196376]
