,hamiltonian,nqubits,beta,trial,AA,Psuc,C,C_depth,F,F_depth,F_r,F_fit,F_fit_depth,F_fit_r,F_fit_params
0,maxcut,7,2,0,8.011480771640846,0.42133232951164246,12.342422315741223,5.20026154610773,14.735449748390913,7.698781239254178,2,13.297705574666933,5.602753266934373,4,[1000.]
1,maxcut,7,502,0,2241.9645531620195,0.09375,7322.225568871782,686.4586470817296,1495.7088271787961,895.8724243663842,16,908.4645682486777,713.400800950342,6,[5.91399307]
2,maxcut,7,1002,0,4461.4476428278385,0.09375,14571.026985427969,1366.033779883872,2581.81231570757,1686.839929468383,20,1612.086080819559,1392.8886066937985,7,[9.18206202]
3,maxcut,7,1502,0,6680.9205770322515,0.09375,21819.79523438609,2045.6058032236958,3594.495321504949,2463.659020332987,23,2300.406280456101,2068.853085837316,5,[6.02730176]
4,maxcut,7,2002,0,8900.390958320384,0.09375,29068.555145554557,2725.1770448957395,4567.106227825481,3216.654955798992,25,3099.8424841015117,2740.3127219252897,5,[11.66298178]
5,maxcut,7,2502,0,11119.860316180479,0.09375,36317.31171422105,3404.747973208223,5513.60426534004,3973.6313609288786,27,3701.911973073215,3422.973091982863,6,[12.99115191]
6,maxcut,7,3002,0,13339.329161696793,0.09375,43566.06660957976,4084.3187446481024,6441.006400425301,4735.076470148128,29,4445.635352964458,4099.922235941648,5,[11.85882403]
7,maxcut,7,3502,0,15558.797714213562,0.09375,50814.82054800596,4763.889426375559,7353.96777898708,5460.5846645669135,30,5046.7800082028725,4788.28576531362,5,[6.29725967]
8,maxcut,7,4002,0,17778.266083504168,0.09375,58063.573888018014,5443.460052001688,8254.315794427486,6228.977259101971,32,5795.386645272262,5459.349467974932,5,[12.01973289]
9,maxcut,7,4502,0,19997.734330593867,0.09375,65312.326828923586,6123.030640211586,9145.210281549142,6957.588568974874,33,6410.284052670027,6146.9503189587895,5,[6.77088385]
10,maxcut,7,5002,0,22217.202492115848,0.09375,72561.07949036616,6802.601202221827,10027.97816918336,7687.163119442383,34,7149.036640733117,6818.690695613533,5,[12.15285562]
11,maxcut,7,5502,0,24436.67059139108,0.09375,79809.83194851171,7482.171745172973,10903.177035481554,8465.335929137367,36,7827.044720503025,7498.342116075595,5,[12.21081019]
12,maxcut,7,6002,0,26656.13864397168,0.09375,87058.58425415322,8161.742273826864,11771.952504103247,9198.477726730642,37,8505.718716141815,8177.984566848824,5,[12.26382364]
13,maxcut,7,6502,0,28875.606660627196,0.09375,94307.33644246389,8841.312791480988,12635.206238125676,9932.744530193177,38,9184.987578444936,8857.619911627202,5,[12.31240115]
14,maxcut,7,7002,0,31095.074649051796,0.09375,101556.08853857279,9520.8833004912,13493.499883592829,10668.169643481024,39,9864.793861289458,9537.249523740249,5,[12.35698576]
15,maxcut,7,7502,0,33314.542614888895,0.09375,108804.84056091122,10200.453802585427,14347.328726402493,11404.777355462797,40,10497.879636195616,10230.795976119627,9,[15.93204803]
16,maxcut,7,8002,0,35534.01056237169,0.09375,116053.59252330472,10880.024299059816,15197.122839837977,12088.193006696256,40,11225.836668996279,10896.495399869644,5,[12.43573366]
17,maxcut,7,8502,0,37753.47849473775,0.09375,123302.3444363272,11559.594790905674,16042.706037477124,12825.891685739614,41,11906.999869706007,11576.113072399985,5,[12.47054392]
18,maxcut,7,9002,0,39972.94641450552,0.09375,130551.09630820382,12239.165278894108,16884.883924098067,13564.8249561015,42,12588.549767818564,12255.727724990946,5,[12.50290693]
19,maxcut,7,9502,0,42192.41432366341,0.09375,137799.84814542872,12918.735763633944,17723.989705242784,14304.999375050815,43,13270.244850148129,12935.284754513297,5,[12.5946607]
20,maxcut,7,10002,0,44411.88222380233,0.09375,145048.5999531978,13598.306245612293,18560.324536579206,15046.419887931861,44,13952.029740966747,13614.801498731209,5,[12.72837847]
0,maxcut,7,2,1,9.584615347399637,0.30461984872817993,17.365831760116524,5.2899770438057185,19.282550290788855,7.823853129539921,2,18.701051270915443,5.696711409204199,5,[1000.]
1,maxcut,7,502,1,2241.9645531620195,0.09375,7322.225568871782,686.4586470817296,1495.582132274737,895.8724243663842,16,865.974732614082,713.9584350775206,5,[3.47674127]
2,maxcut,7,1002,1,4461.4476428278385,0.09375,14571.026985427969,1366.033779883872,2581.809357701332,1686.839929468383,20,1576.921996435421,1383.3940611512737,6,[12.17867641]
3,maxcut,7,1502,1,6680.9205770322515,0.09375,21819.79523438609,2045.6058032236958,3594.4951993386067,2463.659020332987,23,2265.3786725303544,2062.8497697541648,6,[13.0132162]
4,maxcut,7,2002,1,8900.390958320384,0.09375,29068.555145554557,2725.1770448957395,4567.106227825481,3216.654955798992,25,2978.356799786642,2740.1093497076677,5,[11.85685859]
5,maxcut,7,2502,1,11119.860316180479,0.09375,36317.31171422105,3404.747973208223,5513.60426534004,3973.6313609288786,27,3652.9289098865183,3419.9265235347175,5,[11.98349176]
