,hamiltonian,nqubits,beta,trial,AA,Psuc,C,C_depth,F,F_depth,F_r,F_fit,F_fit_depth,F_fit_r,F_fit_params
0,heisenberg_fully_connected,7,2,0,337.60619083093724,0.10083621749602883,1171.5468917758187,118.13435718590301,1950.0146010953304,171.55317507908086,2,1480.1776312288503,149.25551331357576,2,[54.17050469]
1,heisenberg_fully_connected,7,502,0,263934.68818022346,0.005753832948042843,4044443.6951581608,23271.053389705172,6414253.536786747,26418.315993362266,2,409202.2308851273,25688.265805126877,2,[6.00472415]
2,heisenberg_fully_connected,7,1002,0,526339.0951397014,0.005750982445106165,8068941.614863553,46404.34157766688,12803798.415468821,52631.08606223663,2,579924.7413411525,51182.534598072634,2,[6.6151828]
3,heisenberg_fully_connected,7,1502,0,788743.3580139643,0.0057500288009443914,12093438.92804078,69537.62213869655,19193353.012404595,78843.82168786945,2,720722.7266768297,76677.33994117599,2,[7.00479742]
4,heisenberg_fully_connected,7,2002,0,1051147.5846782138,0.005749551324250648,16117936.088951627,92670.90078441914,25582910.01340213,105056.5486511913,2,842602.248123557,102187.19219722187,2,[7.17017126]
5,heisenberg_fully_connected,7,2502,0,1313551.7968281135,0.0057492646284032925,20142433.188853864,115804.17866265406,31972467.979079876,131269.2721412634,2,956749.634317427,127688.5416572562,2,[7.37684379]
6,heisenberg_fully_connected,7,3002,0,1575956.001712367,0.005749073410324301,24166930.25822377,138937.45615671607,38362026.42794271,157481.99389241525,2,1062736.773641779,153202.98749235692,2,[7.46233014]
7,heisenberg_fully_connected,7,3502,0,1838360.2024417259,0.005748936783093368,28191427.31013593,162070.7334311434,44751585.15322836,183694.71464903263,2,1180669.0193739182,178667.74718446066,2,[7.8478564]
8,heisenberg_fully_connected,7,4002,0,2100764.4005728145,0.005748834289207419,32215924.351131942,185204.01056829956,51141144.051384345,209907.43478380318,2,1286473.8598920791,204163.1017757566,2,[8.00519361]
9,heisenberg_fully_connected,7,4502,0,2363168.5969712394,0.005748754557827196,36240421.38484967,208337.2876137327,57530703.06491421,236120.15450361476,2,1367590.65535179,229686.44464635578,2,[8.00589789]
10,heisenberg_fully_connected,7,5002,0,2625572.792156279,0.005748690763960796,40264918.413469754,231470.56459514858,63920262.159193605,262332.8739330289,2,1450631.3266669004,255210.12951755556,2,[8.00625118]
11,heisenberg_fully_connected,7,5502,0,2887976.986458618,0.005748638563183491,44289415.43838222,254603.8415299383,70309821.31221174,288545.59315121983,2,1535058.7004048468,280734.04465948715,2,[8.00647645]
12,heisenberg_fully_connected,7,6002,0,3150381.180098954,0.005748595058548264,48313912.46051439,277737.1184296464,76699380.50934438,314758.3122107908,2,1620528.3886530076,306258.14244997426,2,[8.00657572]
13,heisenberg_fully_connected,7,6502,0,3412785.3732299563,0.0057485582441104185,52338409.48050433,300870.39530278003,83088939.74041392,340971.0311483429,2,1706835.81153651,331782.3648216408,2,[8.00666624]
14,heisenberg_fully_connected,7,7002,0,3675189.5659605255,0.0057485266867996175,56362906.49881859,324003.67215405026,89478498.9980948,367183.74999021715,2,1789999.1313502626,357257.0859746901,2,[8.22507521]
15,heisenberg_fully_connected,7,7502,0,3937593.7583710817,0.005748499335601857,60387403.51578149,347136.94898919115,95868058.27718502,393396.46875512635,2,1869829.9874517508,382776.0495887817,2,[8.24375486]
16,heisenberg_fully_connected,7,8002,0,4199997.950521081,0.0057484754021206175,64411900.53165547,370270.2258100614,102257617.57350904,419609.1874580744,2,1954082.616135283,408268.7471880348,2,[8.36585546]
17,heisenberg_fully_connected,7,8502,0,4462402.142456909,0.005748454283437509,68436397.54662666,393403.5026199382,108647176.88416141,445821.90610951616,2,2029277.2797669007,433794.6854424277,2,[8.35493209]
18,heisenberg_fully_connected,7,9002,0,4724806.334214157,0.00574843551054746,72460894.5608534,416536.779419645,115036736.20672709,472034.62471813324,2,2107562.0661927387,459303.28549334576,2,[8.40950374]
19,heisenberg_fully_connected,7,9502,0,4987210.525820687,0.005748418713185096,76485391.57444501,439670.05621182936,121426295.53922354,498247.3432910478,2,2182708.0513757113,484835.58408680506,2,[8.3755553]
20,heisenberg_fully_connected,7,10002,0,5249614.717299625,0.005748403595100789,80509888.58749738,462803.33299753396,127815854.88032754,524460.0618330259,2,2258628.5840584696,510345.79211945273,2,[8.42268605]
0,heisenberg_fully_connected,7,2,1,372.1555751881157,0.08440136296257668,1411.9596180357826,119.17131621033921,2327.5370107480617,172.88114356242414,2,1782.7957261626798,150.47038799441032,2,[49.63198845]
