,hamiltonian,nqubits,beta,trial,AA,Psuc,C,C_depth,F,F_depth,F_r,F_fit,F_fit_depth,F_fit_r,F_fit_params
0,heisenberg_fully_connected,15,2,0,445.3739163919134,0.06078139834658022,1992.1355992038243,121.08478741561093,3221.836383383894,175.3316063044474,2,2512.4818801408023,152.71216012607755,2,[48.3525569]
1,heisenberg_fully_connected,15,502,0,5193339.840648324,2.24766896404343e-05,1283528043.980291,28849.461489338704,1971880193.9850476,32007.797885960463,2,61794162.788607396,31263.954322522248,2,[6.25930482]
2,heisenberg_fully_connected,15,1002,0,10356602.180028306,2.2464775176195955e-05,2560807500.444211,57527.96476699552,3936272703.5435,63765.79132457062,2,68834563.28759553,62266.43666248481,2,[7.21219809]
3,heisenberg_fully_connected,15,1502,0,15519765.430932157,2.246105000368903e-05,3838040682.779301,86206.42369209867,5900597782.3192425,95523.70806695495,2,79418898.68431965,93236.84892270599,2,[8.0095562]
4,heisenberg_fully_connected,15,2002,0,20682927.942963384,2.2459184860354095e-05,5115273815.9070215,114884.8802427847,7864923590.209806,127281.6143145572,2,83637017.99132636,124249.99927272892,2,[8.30459798]
5,heisenberg_fully_connected,15,2502,0,25846090.158819966,2.245806495470036e-05,6392506929.318722,143563.33584201202,9829249689.883787,159039.5163541596,2,83948107.53276554,155295.3911548806,2,[8.39156832]
6,heisenberg_fully_connected,15,3002,0,31009252.22641466,2.24573180090793e-05,7669740032.863302,172241.7909649775,11793575935.694807,190797.41628698143,2,87192224.58512065,186342.36314239676,2,[8.4697045]
7,heisenberg_fully_connected,15,3502,0,36172414.20922439,2.245678430895847e-05,8946973130.766079,200920.24581566072,13757902265.10867,222555.31501487942,2,98489917.7678838,217269.88331279447,2,[9.00606623]
8,heisenberg_fully_connected,15,4002,0,41335576.13901384,2.245638394221648e-05,10224206225.141129,229598.700496169,15722228646.80634,254313.21298938364,2,94915173.9039938,248329.96488654226,2,[9.00841641]
9,heisenberg_fully_connected,15,4502,0,46498738.033445604,2.2456072491512484e-05,11501439317.163979,258277.15506296614,17686555063.398453,286071.11046114366,2,95308433.40058075,279392.0726537987,2,[9.008281]
10,heisenberg_fully_connected,15,5002,0,51661899.903116986,2.245582329672186e-05,12778672407.539488,286955.60955040203,19650881504.412876,317829.0075810754,2,141115782.48348325,310194.6655924067,2,[9.70079188]
11,heisenberg_fully_connected,15,5502,0,56825061.754776016,2.245561938743551e-05,14055905496.716812,315634.0639800354,21615207963.19253,349586.9044451022,2,100883697.36248064,341409.1078945408,2,[9.3231747]
12,heisenberg_fully_connected,15,6002,0,61988223.59292555,2.2455449447454156e-05,15333138584.99558,344312.518366177,23579534435.314514,381344.8011169518,2,102076802.01173772,372504.4595932308,2,[9.2350475]
13,heisenberg_fully_connected,15,6502,0,67151385.42068116,2.2455305641056322e-05,16610371672.58222,372990.97271937766,25543860917.700626,413102.697640969,2,103683907.05275466,403518.92636337556,2,[9.36198087]
14,heisenberg_fully_connected,15,7002,0,72314547.24026601,2.2455182370311006e-05,17887604759.626965,401669.42704546667,27508187408.135105,444860.59404907096,2,105423394.41791935,434541.3209778836,2,[9.46020759]
15,heisenberg_fully_connected,15,7502,0,77477709.05331941,2.2455075529694753e-05,19164837846.2354,430347.88135156845,29472513905.04498,476618.4903639214,2,107653584.1227736,465526.264121369,2,[9.63308462]
16,heisenberg_fully_connected,15,8002,0,82640870.86105713,2.2454982039533662e-05,20442070932.49166,459026.3356399734,31436840407.166885,508376.38660370925,2,125117399.08753969,496390.45908927114,2,[10.00797655]
17,heisenberg_fully_connected,15,8502,0,87804032.66442363,2.245489954467777e-05,21719304018.456345,487704.7899147534,33401166913.62249,540134.2827810915,2,120925875.52904157,527450.6797190834,2,[10.00817091]
18,heisenberg_fully_connected,15,9002,0,92967194.46414575,2.2454826213076015e-05,22996537104.180054,516383.2441769175,35365493423.68127,571892.178906589,2,112065262.69246274,558677.3790004438,2,[9.70803013]
19,heisenberg_fully_connected,15,9502,0,98130356.26079348,2.245476059837928e-05,24273770189.69873,545061.6984297606,37329819936.74333,603650.0749888365,2,116690710.5682115,589574.9035977047,2,[10.00494685]
20,heisenberg_fully_connected,15,10002,0,103293518.05483621,2.2454701543362457e-05,25551003275.043297,573740.1526745739,39294146452.40894,635407.9710335976,2,116228888.26487719,620636.7499582069,2,[10.00490479]
0,heisenberg_fully_connected,15,2,1,381.49785079883685,0.08066375728925407,1480.656419340614,119.43531003846729,2451.59614845702,173.2192239255724,2,1869.2369915986128,150.7796771580878,2,[48.33870911]
1,heisenberg_fully_connected,15,502,1,4846365.219171003,2.558546839427476e-05,1122478514.2688715,28719.1385500787,1725378752.5438676,31877.216240413254,2,58732001.38875597,31124.070220376077,2,[6.42639526]
2,heisenberg_fully_connected,15,1002,1,10251518.023010336,2.2898173584539134e-05,2510664559.317445,57489.6328918013,3859503876.836545,63727.42126068264,2,76487072.04702546,62245.4185884399,2,[7.0200417]
3,heisenberg_fully_connected,15,1502,1,15497528.777284741,2.252147463140238e-05,3827384717.583716,86198.34782167882,5884283908.544874,95515.62682604606,2,84499523.02733536,93286.16478913033,2,[7.57762005]
4,heisenberg_fully_connected,15,2002,1,20678788.06301256,2.2467610460257624e-05,5113288654.816013,114883.3776672609,7861885535.259205,127280.11098915155,2,91674107.29589774,124297.22883912676,2,[8.01549312]
5,heisenberg_fully_connected,15,2502,1,25845368.311219197,2.2459240249876284e-05,6392160744.229993,143563.0738704894,9828720524.505434,159039.25427800536,2,94569514.52111627,155335.6498381729,2,[8.17743443]
6,heisenberg_fully_connected,15,3002,1,31009131.88305443,2.245748131345573e-05,7669682315.964156,172241.7472909069,11793488004.335318,190797.372598371,2,98211233.35161906,186362.12348134414,2,[8.37588752]
7,heisenberg_fully_connected,15,3502,1,36172393.497179255,2.2456808402474197e-05,8946963197.001131,200920.2382990424,13757887254.759691,222555.30749611574,2,101242681.41181567,217396.27906627662,2,[8.51537574]
