,hamiltonian,nqubits,beta,trial,AA,Psuc,C,C_depth,F,F_depth,F_r,F_fit,F_fit_depth,F_fit_r,F_fit_params
0,maxcut,7,2,0,241.86278448088964,0.18520908900933272,618.7101571440904,114.59074456547808,1108.3788136197454,167.01509231379487,2,783.4600122269435,145.10391417236508,2,[50.06574674]
1,maxcut,7,502,0,91712.94807984105,0.0402768306362999,529174.4503563964,21313.469714061666,874188.418434933,24456.846285010528,2,105620.06603096437,23726.704507447757,2,[6.00854964]
2,maxcut,7,1002,0,182895.46256301814,0.040256877115743155,1055741.275372965,42500.84678870741,1744970.463938457,48723.70235925238,2,166954.06130549323,47293.25945785219,2,[6.37503581]
3,maxcut,7,1502,0,274077.9278474843,0.04025020160661074,1582308.0217197775,63688.21687797845,2615753.772375848,72990.52654715856,2,230977.9657583276,70823.76066902615,2,[7.00841756]
4,maxcut,7,2002,0,365260.3807681603,0.04024685926975454,2108874.7483169925,84875.58521305303,3486537.3990543648,97257.34271580334,2,287099.62528247153,94406.14610329004,2,[7.00844611]
5,maxcut,7,2502,0,456442.8287330123,0.04024485239882305,2635441.467001149,106062.95284519892,4357321.153435063,121524.15566903641,2,345694.3204844156,117963.96217484801,2,[7.21676234]
6,maxcut,7,3002,0,547625.274217074,0.040243513872270105,3162008.18172515,127250.32012548765,5228104.971779051,145790.96701243857,2,403598.2129766702,141505.34689061533,2,[7.50875273]
7,maxcut,7,3502,0,638807.7182824899,0.040242557481653576,3688574.894184818,148437.68720461678,6098888.826715592,170057.7774351359,2,470191.8467746534,165002.64494029293,2,[8.00791475]
8,maxcut,7,4002,0,729990.1614607518,0.040241840024451934,4215141.605228613,169625.05415802138,6969672.704536547,194324.5872821489,2,521728.38286815304,188579.78567251097,2,[8.00799053]
9,maxcut,7,4502,0,821172.6040474207,0.04024128190479037,4741708.315328405,190812.42102741898,7840456.597630674,218591.39674500833,2,575961.079423813,212157.34943060044,2,[8.00790469]
10,maxcut,7,5002,0,912355.0462197918,0.04024083534772557,5268275.024767003,211999.78783818384,8711240.501414375,242858.20593902763,2,632215.2615232719,235735.1873803804,2,[8.00786163]
11,maxcut,7,5502,0,1003537.488090773,0.04024046994228443,5794841.733724708,233187.1546062445,9582024.412973875,267125.0149375035,2,689103.1989235047,259275.34951353542,2,[8.18676805]
12,maxcut,7,6002,0,1094719.9297357253,0.040240165409837846,6321408.442321805,254374.52134217485,10452808.33037328,291391.8237891352,2,745704.3467887266,282854.2090149996,2,[8.17996922]
13,maxcut,7,6502,0,1185902.3712067737,0.04023990770877293,6847975.150641014,275561.88805376476,11323592.252265269,315658.63252780645,2,802418.0507553904,306380.410834811,2,[8.39552038]
14,maxcut,7,7002,0,1277084.8125410955,0.04023968680759732,7374541.858742953,296749.25474533305,12194376.177680016,339925.4411779016,2,858446.9152041802,329957.81086592143,2,[8.39283984]
15,maxcut,7,7502,0,1368267.253766162,0.040239495349213,7901108.566669537,317936.6214221258,13065160.105929026,364192.2497567469,2,914964.8369419985,353497.3090114517,2,[8.5339247]
16,maxcut,7,8002,0,1459449.6949022536,0.04023932781484432,8427675.274454938,339123.9880858504,13935944.036459347,388459.05827822885,2,973349.1540209661,377019.49630156136,2,[8.72167559]
17,maxcut,7,8502,0,1550632.1359652253,0.04023917998406256,8954241.982123207,360311.3547395048,14806727.96888651,412725.8667520289,2,1041422.960709187,400501.93352869427,2,[9.00735279]
18,maxcut,7,9002,0,1641814.5769672259,0.04023904857383222,9480808.689694995,381498.72138384747,15677511.902890783,436992.67518618394,2,1093069.993059629,424076.78460760677,2,[9.00747565]
19,maxcut,7,9502,0,1732997.017917755,0.04023893099229567,10007375.397184359,402686.08802129887,16548295.838209603,461259.4835872848,2,1145755.6379842635,447651.53358019155,2,[9.0082843]
20,maxcut,7,10002,0,1824179.4588247295,0.040238825165705525,10533942.104603754,423873.45465281454,17419079.77466797,485526.29195974756,2,1199216.3231933923,471227.0652656291,2,[9.0072529]
0,maxcut,7,2,1,371.61909394606874,0.0846240687381739,1408.0622576311803,119.15595727740931,2320.3400592674334,172.86147433886947,2,1777.891283013235,150.45239330246105,2,[50.60540775]
1,maxcut,7,502,1,124385.46144707748,0.023015331792171374,950516.0663331082,21876.44264044606,1542165.207931078,25020.93677854313,2,105111.02880166957,24231.934802862757,2,[7.0138074]
