,hamiltonian,nqubits,beta,trial,AA,Psuc,C,C_depth,F,F_depth,F_r,F_fit,F_fit_depth,F_fit_r,F_fit_params
0,rbm,14,2,0,378.4227351366229,0.08186534413894195,1457.871214493768,119.34912868478958,2425.7350138402753,173.10885686299912,2,1840.567703789182,150.67870765650488,2,[50.66299064]
1,rbm,14,502,0,5193435.989191961,2.2475909953292357e-05,1283574122.1020343,28849.49638674161,1971950506.1803164,32007.8328526388,2,61883680.871157885,31249.724175112086,2,[6.51231872]
2,rbm,14,1002,0,10356602.180028306,2.2464775176195955e-05,2560807500.444211,57527.96476699552,3936272701.48165,63765.79132457062,2,69819838.6156525,62259.09167981908,2,[7.28974806]
3,rbm,14,1502,0,15519765.430932157,2.246105000368903e-05,3838040682.779301,86206.42369209867,5900597782.298437,95523.70806695495,2,85218994.75610408,93236.80427808865,2,[8.00986394]
4,rbm,14,2002,0,20682927.942963384,2.2459184860354095e-05,5115273815.9070215,114884.8802427847,7864923590.209806,127281.6143145572,2,77549143.3811745,124299.74592638646,2,[8.00907622]
5,rbm,14,2502,0,25846090.158819966,2.245806495470036e-05,6392506929.318722,143563.33584201202,9829249689.883787,159039.5163541596,2,80765097.40409173,155307.26343272725,2,[8.33093719]
6,rbm,14,3002,0,31009252.22641466,2.24573180090793e-05,7669740032.863302,172241.7909649775,11793575935.694807,190797.41628698143,2,82809275.72722173,186344.86252125006,2,[8.45808581]
7,rbm,14,3502,0,36172414.20922439,2.245678430895847e-05,8946973130.766079,200920.24581566072,13757902265.10867,222555.31501487942,2,99533076.56739075,217269.10941199557,2,[9.00874364]
8,rbm,14,4002,0,41335576.13901384,2.245638394221648e-05,10224206225.141129,229598.700496169,15722228646.80634,254313.21298938364,2,87436769.359939,248357.34777446854,2,[8.91479764]
9,rbm,14,4502,0,46498738.033445604,2.2456072491512484e-05,11501439317.163979,258277.15506296614,17686555063.398453,286071.11046114366,2,88414135.3800058,279392.1094050705,2,[9.00816155]
10,rbm,14,5002,0,51661899.903116986,2.245582329672186e-05,12778672407.539488,286955.60955040203,19650881504.412876,317829.0075810754,2,90477988.23066914,310455.15347934497,2,[9.00809827]
11,rbm,14,5502,0,56825061.754776016,2.245561938743551e-05,14055905496.716812,315634.0639800354,21615207963.19253,349586.9044451022,2,92935505.97496323,341404.91883619834,2,[9.33425969]
