,hamiltonian,nqubits,beta,trial,AA,Psuc,C,C_depth,F,F_depth,F_r,F_fit,F_fit_depth,F_fit_r,F_fit_params
0,heisenberg,14,2,0,18.32103489268046,0.16885951161384583,44.58484256345126,7.5285747406445855,45.67385427944538,11.094338519988241,2,45.6342902738924,11.0945181653336,2,[0.9028065]
1,heisenberg,14,27,0,1952.879878184066,0.000577394210267812,81271.69514309897,46.925806234276,28080.79138946832,117.15459501848213,9,22746.96436857509,63.66004555273896,3,[2.33300823]
2,heisenberg,14,52,0,5084.933578350657,0.00025846800417639315,316287.39890448225,81.75017274098424,77684.31180020387,234.66147002225364,15,65606.97550539853,90.01909858459884,2,[3.9025875]
3,heisenberg,14,77,0,8726.256727882772,0.00017702754121273756,655854.5973580703,116.10432676336919,130729.91383909991,341.9561708366272,19,82075.3459145093,147.5931772563964,4,[2.61158635]
4,heisenberg,14,102,0,12394.950931964104,0.00014699900930281729,1022321.7673938493,150.28028699560107,175343.11171306096,456.26191726461155,23,107473.86805082539,171.19117476924953,3,[3.186222]
5,heisenberg,14,127,0,15911.173973868306,0.00013427084195427597,1373129.0913170094,184.37119920304474,209434.26622044382,561.2187475924253,26,147373.5283591811,193.8743039509869,2,[4.56488905]
6,heisenberg,14,152,0,19278.640485818905,0.00012835934467148036,1701620.303875248,218.41886708511208,235770.5226622061,670.1046606782297,29,132897.8929581913,261.9855111251604,5,[3.30882445]
7,heisenberg,14,177,0,22540.4518233599,0.00012543013144750148,2012619.510822766,252.44312979630567,257113.55633511892,783.008201156689,32,125588.59007344981,316.4644750753362,6,[2.33623142]
8,heisenberg,14,202,0,25733.641120708984,0.00012391014024615288,2311786.9922987306,286.45385043496765,275290.75490515545,879.7179242020775,34,126769.42810311627,335.39018634222657,5,[2.80567917]
9,heisenberg,14,227,0,28883.38186225072,0.0001230952620971948,2603318.911885137,320.45622378108493,291389.3350588944,999.4257617652069,37,130311.46244545927,369.222694846423,5,[2.96581449]
10,heisenberg,14,252,0,32005.76850904191,0.0001226481981575489,2889998.874354595,354.45315461693565,306065.3420975328,1100.6424581355282,39,130576.31642849842,404.8106116252593,5,[2.84003245]
11,heisenberg,14,277,0,35110.925868505445,0.00012239890929777175,3173609.6496167877,388.4463596499784,319719.4427394715,1203.6421638209645,41,186061.66479630652,416.1012738885123,6,[11.509195]
12,heisenberg,14,302,0,38205.21609716479,0.00012225830869283527,3455281.769195141,422.4369051589855,332594.59534115135,1308.4555623456401,43,133610.2288858549,472.70702530167523,5,[3.04642547]
13,heisenberg,14,327,0,41292.64833996259,0.00012217836047057062,3735730.9555842755,456.4254833124449,344851.61437382246,1415.0989845924134,45,159821.99954125856,493.4747367230683,5,[5.71355555]
14,heisenberg,14,352,0,44375.76159900504,0.00012213258014526218,4015411.4560146327,490.412561467911,356601.3008827936,1523.5792922991302,47,145729.9722253164,539.2846716693496,5,[3.42847956]
15,heisenberg,14,377,0,47456.13639439409,0.00012210629938635975,4294606.161114509,524.3984656555534,367922.52262026205,1633.8969797804066,49,136431.78030127948,575.4556354049172,5,[3.15210427]
16,heisenberg,14,402,0,50534.78581753821,0.00012209115084260702,4573496.337517833,558.3834312220006,378851.9375346742,1718.08452149928,50,200940.60687949404,568.6214007808109,2,[5.80884609]
17,heisenberg,14,427,0,53612.34229734733,0.00012208240514155477,4852194.971251437,592.3676323061327,389454.7857205008,1831.20039859411,52,136195.26823149956,676.3779699009036,7,[2.70118678]
18,heisenberg,14,452,0,56689.21063498813,0.00012207732652314007,5130774.231147603,626.3512011323189,399758.3016256339,1916.624263795246,53,187991.6419704751,655.7595548814655,6,[11.77306295]
19,heisenberg,14,477,0,59765.63538183354,0.00012207438703626394,5409277.53942817,660.3342399347239,409781.93093758484,2032.5652852344112,55,138742.3417293798,712.6276533086393,5,[3.1889347]
20,heisenberg,14,502,0,62841.77892885691,0.000122072669910267,5687733.626649523,694.316829543513,419559.1053116363,2119.302016817075,56,139386.65575990573,746.7624809025251,5,[3.2132648]
21,heisenberg,14,527,0,65917.73056012696,0.0001220716949319467,5966158.124850922,728.2990345325569,429100.5170337172,2238.0713158427507,58,179647.68314851267,753.2772309512912,4,[7.3755675]
22,heisenberg,14,552,0,68993.56569464967,0.00012207111285533756,6244564.253355251,762.2809077037356,438424.6991414963,2326.1696683940586,59,161580.79596001553,801.5932360751491,5,[5.86317367]
23,heisenberg,14,577,0,72069.3163427458,0.0001220707781612873,6522957.453041441,796.2624922057374,447553.9529119231,2414.643908542135,60,160861.75639385192,836.1768830022718,5,[5.77454681]
24,heisenberg,14,602,0,75145.00776166393,0.00012207058898638934,6801342.00131976,830.2438239989712,456485.4782931772,2537.2473741754593,62,184194.22654529457,858.4200518986283,5,[9.67654798]
25,heisenberg,14,627,0,78220.66049794307,0.0001220704725710675,7079721.369948711,864.2249333011247,465241.61824944965,2627.13473425925,63,178079.69990656088,899.5667780458931,4,[4.28825806]
26,heisenberg,14,652,0,81296.28379964808,0.00012207039981149137,7358097.024219558,898.2058455982263,473833.9313762538,2717.431473129756,64,143721.4408518828,951.908167387855,5,[3.25479144]
27,heisenberg,14,677,0,84371.87797620044,0.0001220703707076609,7636468.842801319,932.1865825382595,482270.40715993627,2808.1485993640636,65,172319.11546826517,974.7500031382028,6,[7.78013112]
28,heisenberg,14,702,0,87447.45871273897,0.00012207034160383046,7914839.51130113,966.1671628840235,490550.1439475659,2935.583934172216,67,143734.80507940488,1019.4942242371626,5,[3.37903294]
29,heisenberg,14,727,0,90523.02206068022,0.00012207032705191523,8193208.183980373,1000.1476026229126,498689.56811727583,3027.7495354072857,68,194875.9579533481,1030.2296727706348,6,[12.4915261]
30,heisenberg,14,752,0,93598.56873054181,0.00012207032705191523,8471574.875371125,1034.1279156813412,506695.5911478228,3120.353113925694,69,145922.4156793827,1102.4861263156286,6,[3.31812465]
31,heisenberg,14,777,0,96674.11080679287,0.0001220703125,8749941.672532856,1068.1081143228585,514574.3150396397,3213.401258270558,70,158787.532234935,1119.4316791597664,5,[3.79766137]
32,heisenberg,14,802,0,99749.63790064231,0.0001220703125,9028306.608697195,1102.0882090694818,522331.22521469963,3306.899695036615,71,145527.1290420879,1155.7188522363822,5,[3.44680296]
33,heisenberg,14,827,0,102825.15644362695,0.0001220703125,9306670.7709256,1136.068209341504,529971.6417298182,3400.853407765831,72,189731.49603616248,1173.3202798800799,5,[6.94114471]
34,heisenberg,14,852,0,105900.66718415012,0.0001220703125,9585034.226955807,1170.0481234076913,537500.5029547096,3495.2667226254985,73,199646.88176341215,1199.2413881663563,6,[13.28914417]
35,heisenberg,14,877,0,108976.17078575342,0.0001220703125,9863397.036844747,1204.0279585992123,544922.4511512463,3590.1433891398638,74,199679.84710921528,1233.334172894478,6,[13.29401951]
36,heisenberg,14,902,0,112051.6678388133,0.0001220703125,10141759.254027195,1238.0077214388666,552241.8503694966,3685.4866484385425,75,199769.9469904311,1267.4222571636533,6,[13.29950098]
37,heisenberg,14,927,0,115127.15887035504,0.0001220703125,10420120.926204037,1271.9874177495162,559462.8103408068,3781.2992923356587,76,167088.7848789991,1312.9581552837367,5,[6.10640488]
38,heisenberg,14,952,0,118202.64435232819,0.0001220703125,10698482.096091269,1305.9670527455162,566589.2034875224,3877.583714648696,77,167471.26075416096,1347.0029222295693,5,[6.1226042]
39,heisenberg,14,977,0,121278.12470861788,0.0001220703125,10976842.802054591,1339.9466311101796,573624.682159846,3974.3419559217878,78,179060.7407415832,1390.5681968892236,5,[4.13014846]
40,heisenberg,14,1002,0,124353.60032101162,0.0001220703125,11255203.078649467,1373.9261570617025,580572.6950658867,4071.5757425209176,79,169639.04178674606,1414.2327227704295,5,[6.36506125]
41,heisenberg,14,1027,0,127429.07153429886,0.0001220703125,11533562.957082672,1407.9056344095059,587436.5013715603,4169.286520908573,80,146179.08920566321,1478.762622422822,6,[3.27356498]
42,heisenberg,14,1052,0,130504.53866064653,0.0001220703125,11811922.465608336,1441.88506660258,594219.182762365,4267.475487774696,81,168931.22629383006,1482.998783842393,5,[6.2231977]
43,heisenberg,14,1077,0,133580.00198336845,0.0001220703125,12090281.629869096,1475.8644567711299,600923.6581800707,4366.143616593639,82,163292.61031081463,1531.9783354958709,6,[5.47267985]
44,heisenberg,14,1102,0,136655.46176018333,0.0001220703125,12368640.473190986,1509.8438077625715,607552.6929281794,4465.291681088681,83,170025.58065950286,1551.4627650362218,5,[6.15530127]
45,heisenberg,14,1127,0,139730.91822604148,0.0001220703125,12646999.01683928,1543.8231221727638,614108.9090804659,4564.920276012486,84,170552.32849157898,1584.5495314179984,5,[6.40167727]
46,heisenberg,14,1152,0,142806.3715955847,0.0001220703125,12925357.280241141,1577.8024023731862,620594.7964417149,4665.0298355912155,85,147631.28618099593,1648.9422391908495,6,[3.33138784]
47,heisenberg,14,1177,0,145881.8220652943,0.0001220703125,13203715.281180024,1611.781650534671,627012.7200461761,4765.620649929286,86,187855.0076785364,1657.5185573839135,7,[10.2636399]
48,heisenberg,14,1202,0,148957.26981537198,0.0001220703125,13482073.035965921,1645.7608686481838,633364.9280206236,4866.692879629347,87,171350.7459227783,1687.4787844594994,5,[6.23317912]
49,heisenberg,14,1227,0,152032.7150113914,0.0001220703125,13760430.559584858,1679.7400585430735,639653.559964771,4968.2465688462025,88,190142.2246827917,1706.401459713322,4,[7.93058118]
50,heisenberg,14,1252,0,155108.1578057534,0.0001220703125,14038787.865830576,1713.7192219031465,645877.1019617626,5022.518430681027,88,182893.12309851195,1752.968033867131,5,[6.91654249]
51,heisenberg,14,1277,0,158183.5983389702,0.0001220703125,14317144.96742079,1747.6983602808582,652039.4334676183,5124.561354296094,89,191088.22726446277,1774.263907807581,4,[8.02386926]
52,heisenberg,14,1302,0,161259.0367408024,0.0001220703125,14595501.876100097,1781.677475109875,658143.850957362,5227.088395444806,90,165224.90314192156,1838.7398101506776,6,[5.51486796]
53,heisenberg,14,1327,0,164334.47313126834,0.0001220703125,14873858.60273131,1815.6565677162243,664192.1368111172,5330.099145088643,91,153093.7534987665,1870.0102181384814,5,[3.74944194]
54,heisenberg,14,1352,0,167409.90762154138,0.0001220703125,15152215.157376692,1849.6356393282094,670185.9931998833,5433.593129683314,92,172697.15646409773,1891.0440405707784,5,[6.44692793]
55,heisenberg,14,1377,0,170485.3403147499,0.0001220703125,15430571.549370361,1883.6146910852492,676127.0449648085,5537.569817746784,93,192606.85193752236,1910.294738533072,4,[8.08373028]
56,heisenberg,14,1402,0,173560.7713066922,0.0001220703125,15708927.78738299,1917.5937240457752,682011.2088372606,5591.620878028162,93,213018.94970863892,1944.6351557172159,5,[11.75094406]
57,heisenberg,14,1427,0,176636.20068647634,0.0001220703125,15987283.879479723,1951.5727391943021,687844.8276518948,5696.1053051958215,94,212779.3513223443,1978.6611967579277,5,[11.76002433]
58,heisenberg,14,1452,0,179711.6285370942,0.0001220703125,16265639.833172118,1985.5517374477683,693630.0243793644,5801.073167541976,95,173799.6968633412,2027.0475892411444,5,[6.50844771]
59,heisenberg,14,1477,0,182787.0549359372,0.0001220703125,16543995.655464858,2019.5307196612375,699368.17057809,5906.523685298691,96,194101.35986762002,2046.2923726836007,4,[8.14878192]
60,heisenberg,14,1502,0,185862.47995526122,0.0001220703125,16822351.35289779,2053.509686633031,705058.9429549805,5960.391373010466,96,194466.08960786785,2080.2978160286707,4,[8.16155592]
61,heisenberg,14,1527,0,188937.90366260515,0.0001220703125,17100706.93158384,2087.4886391093555,710699.7470692998,6066.35910307553,97,158089.31764853423,2157.6361005981425,6,[3.68399702]
62,heisenberg,14,1552,0,192013.32612117022,0.0001220703125,17379062.39724333,2121.4675777884922,716297.2461042427,6172.809332466309,98,211828.93032027333,2148.7765277187805,5,[11.80443414]
63,heisenberg,14,1577,0,195088.74739016203,0.0001220703125,17657417.755234938,2155.4465033245774,721852.6077539516,6279.741119371792,99,195534.19837583145,2182.256858944375,4,[8.22016492]
64,heisenberg,14,1602,0,198164.16752510204,0.0001220703125,17935773.010583896,2189.425416331042,727365.7295721615,6333.471439364778,99,211553.9167543892,2216.8163737864616,5,[11.82174009]
65,heisenberg,14,1627,0,201239.58657810936,0.0001220703125,18214128.168007486,2223.4043173837263,732832.4601823682,6440.9270510338365,100,167456.64213670083,2261.886244236218,4,[4.41657046]
66,heisenberg,14,1652,0,204315.00459815757,0.0001220703125,18492483.231938288,2257.3832070237167,738260.2780732403,6548.863434279761,101,211332.856533201,2284.8529949813837,5,[11.83878989]
67,heisenberg,14,1677,0,207390.4216313085,0.0001220703125,18770838.206545345,2291.36208575993,743650.1821425718,6657.279544151641,102,203586.78855331492,2319.9546688033392,5,[11.32786317]
68,heisenberg,14,1702,0,210465.83772092537,0.0001220703125,19049193.095753446,2325.3409540714656,748999.4048937148,6710.910710220335,102,211161.88639161797,2352.8866114929683,5,[11.85558428]
69,heisenberg,14,1727,0,213541.2529078676,0.0001220703125,19327547.903260767,2359.3198124097617,754308.2524117095,6819.855103722822,103,211094.10583963033,2386.9023531679827,5,[11.8638876]
70,heisenberg,14,1752,0,216616.6672306691,0.0001220703125,19605902.632554997,2393.298661200561,759581.9823044323,6929.277990267749,104,176778.14495442054,2434.9452846811737,5,[6.68806104]
71,heisenberg,14,1777,0,219692.08072570112,0.0001220703125,19884257.286928087,2427.277500845714,764821.2318068823,6982.787914392554,104,210991.82708178688,2454.9318207889287,5,[11.8803071]
72,heisenberg,14,1802,0,222767.49342732213,0.0001220703125,20162611.86948981,2461.2563317248305,770018.8685992549,7092.742311089539,105,198517.25344032008,2488.127031094466,4,[8.38024521]
73,heisenberg,14,1827,0,225842.90536801508,0.0001220703125,20440966.383180186,2495.2351541968,775183.9128064744,7203.173687602976,106,204935.16788442768,2523.033408948583,4,[8.03180361]
74,heisenberg,14,1852,0,228918.31657851345,0.0001220703125,20719320.830780894,2529.2139686011833,780317.1378106265,7314.080899147356,107,195239.28510389308,2573.7563645009086,7,[11.43841857]
75,heisenberg,14,1877,0,231993.72708791782,0.0001220703125,20997675.21492582,2563.1927752594993,785412.4264290578,7367.546320757822,107,177972.78884533184,2604.776947609215,5,[6.78333296]
76,heisenberg,14,1902,0,235069.13692380258,0.0001220703125,21276029.538110703,2597.171574476404,790475.5920174777,7478.986811519978,108,167194.2980759261,2636.450330055768,4,[4.36485014]
77,heisenberg,14,1927,0,238144.54611231483,0.0001220703125,21554383.802702118,2631.150366540786,795509.1494385832,7590.901384924059,109,210924.0786685685,2659.005559737422,5,[11.9280992]
78,heisenberg,14,1952,0,241219.95467826555,0.0001220703125,21832738.010945696,2665.1291517267696,800507.4298301141,7644.284292517875,109,275933.526368539,2676.404524314514,2,[7.40080017]
79,heisenberg,14,1977,0,244295.36264521387,0.0001220703125,22111092.164973766,2699.107930294649,805474.9213962958,7756.733634207271,110,210972.07123353393,2727.0257341943784,5,[11.94355219]
80,heisenberg,14,2002,0,247370.77003554502,0.0001220703125,22389446.266812406,2733.086702491749,810414.817059405,7869.655151669058,111,211007.9148862992,2761.0350702615337,5,[11.95118994]
0,heisenberg,14,2,1,17.738620463261366,0.1795499324798584,41.862698375468334,7.516444666740017,43.072154128543914,11.075888748581534,2,43.072154117982876,11.075888748581534,2,[1.]
1,heisenberg,14,27,1,1070.8997745848742,0.001880528638139367,24694.98981391756,46.43963556363193,8749.832255374467,115.24933283219943,9,6933.878654645261,70.8651690402161,4,[2.12303451]
2,heisenberg,14,52,1,2785.429521908245,0.0008501826669089496,95529.18023801883,81.21725322238457,24043.891763053605,220.74127508782902,14,20242.72253268211,89.53546985692496,2,[3.7078994]
3,heisenberg,14,77,1,5079.600022035062,0.000517982232850045,223188.63942446205,115.60774979584643,45545.26564217442,325.50193165936133,18,28506.88746286119,146.3865403277498,4,[2.57554824]
4,heisenberg,14,102,1,7891.099769199214,0.00036064794403500855,415523.7043095206,149.85776965703943,72899.37871741292,437.96870582678133,22,46519.630684269934,188.99601438550386,5,[3.34454231]
5,heisenberg,14,127,1,11083.908597445492,0.0002756674657575786,667575.1759261626,184.02875695023496,104061.87740047525,541.70111971398,25,71740.1587596131,206.10074660740813,4,[6.04818567]
6,heisenberg,14,152,1,14520.323538577906,0.00022570975124835968,966498.3840852677,218.14810985382735,136756.2128259165,649.572232058269,28,72450.83129790642,275.85171150122716,6,[2.78798931]
7,heisenberg,14,177,1,18088.819658575852,0.00019443692872300744,1297241.5568165076,252.2316641192545,169099.93512232316,742.7756835035229,30,117100.91836218872,262.009610644474,2,[4.82563822]
8,heisenberg,14,202,1,21709.33624993071,0.00017390743596479297,1646218.467454166,286.289632712845,199871.64682783475,857.5488423873079,33,121336.90841619484,313.2444982487589,5,[8.02348573]
9,heisenberg,14,227,1,25329.59699631953,0.00015993218403309584,2002904.978480579,320.3289676191598,228401.11996822717,955.2313088211887,35,134828.3151663018,380.513999464165,8,[6.046041]
10,heisenberg,14,252,1,28918.667522411433,0.00015014797099865973,2360035.5465838443,354.3545488042771,254463.06306201647,1054.6752190383236,37,157567.47077817123,381.4946870365965,6,[11.46994212]
11,heisenberg,14,277,1,32460.570270320914,0.0001431458513252437,2713106.003730796,388.3698686396746,278085.1149998659,1155.9248189936864,39,124165.91934474629,423.34988330194665,4,[3.49179371]
12,heisenberg,14,302,1,35949.101550601685,0.00013804649643134326,3059675.3411773,422.3774610669011,299448.2336844975,1259.0068649408422,41,134371.00135178884,492.55610031633677,7,[3.69592914]
13,heisenberg,14,327,1,39384.00578496443,0.00013428016973193735,3398708.7201020033,456.37918380471257,318801.87015725573,1363.9361524939347,43,152974.0904645128,502.26646105277365,6,[5.86022895]
14,heisenberg,14,352,1,42768.38391638969,0.00013146600394975394,3730062.4999279007,490.3764113483505,336412.4396110476,1470.7191389873005,45,130726.47033634182,541.1225792284645,5,[3.11536848]
15,heisenberg,14,377,1,46106.96314364021,0.00012934299593325704,4054105.6299800244,524.3701680115008,352532.72258344706,1552.5618810158755,46,166259.66513397967,576.1165085422629,7,[6.8242657]
16,heisenberg,14,402,1,49405.09990674508,0.00012772824265994132,4371478.163736081,558.3612236803168,367368.4958191752,1662.1714256175574,48,136214.70739327252,610.4418124356674,5,[3.04807258]
17,heisenberg,14,427,1,52668.11877015206,0.0001264915190404281,4682923.920514876,592.3501602566837,381141.63822532125,1773.642501438678,50,136171.39213689454,659.6340839362232,6,[2.91531028]
18,heisenberg,14,452,1,55901.024491786644,0.00012553857231978327,4989202.99697033,626.3374212532392,394004.39943310374,1857.7298344648946,51,137820.82946081038,694.0761637856158,6,[2.91837256]
19,heisenberg,14,477,1,59108.33754955731,0.00012480035366024822,5291037.465464447,660.3233469195864,406100.34338702,1972.0622674741633,53,147752.59092727042,697.7155966967559,4,[3.55323556]
20,heisenberg,14,502,1,62294.01399473354,0.0001242258440470323,5589080.154403165,694.3081996272508,417542.359827655,2057.499148927502,54,159340.78459011123,743.6756311709287,5,[3.70731675]
21,heisenberg,14,527,1,65461.498881861284,0.00012377684470266104,5883912.984171932,728.2921836858201,428433.05143044813,2174.695246033302,56,172920.7184242419,771.2150125208243,6,[7.2939185]
22,heisenberg,14,552,1,68613.72057067722,0.0001234246592503041,6176038.591785682,762.2754587078758,438835.78706279653,2261.529615653953,57,198174.1801004254,792.3465001270359,6,[11.8930111]
23,heisenberg,14,577,1,71753.17720269007,0.00012314747436903417,6465891.036118108,796.2581506433224,448832.7967434038,2348.7569950026796,58,147958.36306390338,848.1827821594197,5,[3.42289834]
24,heisenberg,14,602,1,74881.96304028087,0.00012292868632357568,6753837.399784713,830.240359198569,458470.04589431256,2469.8379770892275,60,173969.48107708144,868.5591412589969,5,[6.22461593]
