,hamiltonian,nqubits,beta,trial,AA,Psuc,C,C_depth,F,F_depth,F_r,F_fit,F_fit_depth,F_fit_r,F_fit_params
0,weighted_maxcut,15,2,0,620.6694184747472,0.03309884787073503,3765.30386633098,124.62721985877954,23510.2742994817,190.21561967052085,2,7096.116273887566,166.3285852292007,2,[53.74710592]
1,weighted_maxcut,15,27,0,168708.88827859654,6.229997634213462e-05,24853151.767578904,1548.3507671476468,157421737.40128854,1857.9901299231024,2,28680556.678328063,1785.4022284599278,2,[6.33102029]
2,weighted_maxcut,15,52,0,589961.1642262915,1.9639563508898993e-05,155494195.2029218,3053.83812195292,986853183.9708827,3589.8198186885975,2,134387985.51980874,3495.3222731112396,2,[5.16774787]
3,weighted_maxcut,15,77,0,1080741.4836512052,1.2999934868474518e-05,350686863.88390523,4558.906389720357,2227832853.341179,5319.289563352559,2,244623125.1298609,5189.446076373943,2,[5.22981443]
4,weighted_maxcut,15,102,0,1575813.6500697746,1.0782173556094351e-05,561921142.6741211,6058.73128515123,3572174134.67156,7042.929236906063,2,331911107.9155468,6877.273515986771,2,[5.31867448]
5,weighted_maxcut,15,127,0,2066263.5318123866,9.742370879889726e-06,775511448.5340167,7555.320153218904,4932396331.627171,8763.103071121826,2,431878738.33458745,8542.412577521012,2,[6.10579518]
6,weighted_maxcut,15,152,0,2556815.25164894,9.125271779495429e-06,991864532.7732046,9051.033429997742,6310642532.043267,10482.298813100148,2,487499899.33555704,10225.400312929729,2,[6.13210653]
7,weighted_maxcut,15,177,0,3051871.404179418,8.693399204742784e-06,1213248078.2153351,10547.249878312905,7721074259.700453,12201.94588979664,2,519250592.2911393,11913.851497797783,2,[6.01687728]
8,weighted_maxcut,15,202,0,3553791.5735715856,8.357732479091358e-06,1441134192.633564,12044.614048502639,9172919267.043762,13922.711070230715,2,557708872.4948791,13600.024755075005,2,[6.01651153]
9,weighted_maxcut,15,227,0,4063527.575006515,8.079941296890954e-06,1676172054.1385117,13543.3718009283,10670237362.99946,15644.850987333597,2,594209039.6696153,15287.74557004732,2,[6.01603254]
10,weighted_maxcut,15,252,0,4581244.105918444,7.841378610691492e-06,1918485217.5313141,15043.568949677861,12213778613.568993,17368.417198649047,2,630363038.1239226,16977.022935098827,2,[6.0155574]
11,weighted_maxcut,15,277,0,5106679.165766241,7.63193405753137e-06,2167884487.6978335,16545.151454455045,13802321591.94709,19093.35899101493,2,919475474.3680339,18725.79141828774,3,[10.67695455]
12,weighted_maxcut,15,302,0,5639339.693419693,7.4455673517736225e-06,2423994695.320294,18048.01576434923,15433472096.229109,20819.574883569432,2,705141785.9810834,20359.889927330267,2,[6.0146388]
13,weighted_maxcut,15,327,0,6178606.0262010805,7.278353533462567e-06,2686326538.6017103,19552.034254266026,17104116244.210995,22546.938619097185,2,1007448937.15772,22102.31786302893,3,[10.99488973]
14,weighted_maxcut,15,352,0,6723798.909566244,7.127536577999539e-06,2954326522.5145855,21057.070352576884,18810735841.347633,24275.314582317507,2,770802759.5145403,23740.17813446162,2,[6.17651702]
15,weighted_maxcut,15,377,0,7274217.275984737,6.991056889198728e-06,3227407079.5173335,22562.986497508402,20549598648.745766,26004.56591296773,2,802750317.7899861,25425.00748751331,2,[6.38522717]
16,weighted_maxcut,15,402,0,7829168.547247857,6.867285739643631e-06,3504972835.117184,24069.649968438545,22316924450.029312,27734.56043035786,2,831030490.7425175,27121.534208180772,2,[6.36756569]
17,weighted_maxcut,15,427,0,8387983.119095244,6.7548861640166574e-06,3786434688.8137155,25576.935290420486,24108974021.087494,29465.17309055548,2,919417427.7650647,28835.758521473766,2,[6.01281115]
18,weighted_maxcut,15,452,0,8950029.730099821,6.6527211579324726e-06,4071225298.384079,27084.726681269705,25922147052.577988,31196.28846885423,2,888716215.8386995,30506.74277263188,2,[6.51198247]
19,weighted_maxcut,15,477,0,9514721.052763546,6.55980474809272e-06,4358806346.436589,28592.91856737142,27753028033.53488,32927.80129582432,2,1011821054.752007,32172.965396039614,2,[7.01141152]
20,weighted_maxcut,15,502,0,10081519.795371233,6.4752662126257646e-06,4648676244.897193,30101.41622201881,29598434933.96812,34659.617110130595,2,1049809870.5320511,33865.36558086327,2,[7.07604294]
21,weighted_maxcut,15,527,0,10649939.25274761,6.398329986248504e-06,4940372795.134792,31610.135398357277,31455435940.616673,36391.651899958844,2,1035885182.686241,35566.953937574675,2,[7.01136823]
