,AA,C,C_depth,F,F_depth,F_fit,F_fit_depth,F_fit_params,F_fit_r,F_r,Psuc,beta,hamiltonian,nqubits,trial
0,13.370488602261826,24.12659033843836,7.4096655580211825,27.124681893484976,10.913786433712591,27.124681777763954,10.91378643200252,[1.00000004],2,2,0.30711615085601807,2,maxcut,8,0
1,359.8773138976947,2843.5276344663507,45.54613061902791,1170.85964950084,95.83574025192617,1002.0405530545042,78.01905136025061,[1.60565627],5,7,0.016017474234104156,27,maxcut,8,0
2,639.1625947591617,5112.872905608404,79.90201009908574,1509.1680825604444,171.91739820431812,1270.989710734037,100.11783346524953,[4.28118457],4,10,0.01562761515378952,52,maxcut,8,0
3,912.1655079109255,7297.319713747207,114.02075645047178,1771.781172950455,252.95948953610292,1538.3208063973502,129.18195693859582,[4.06694253],3,13,0.015625018626451492,77,maxcut,8,0
4,1184.5860922692373,9476.688738153898,148.07326153365466,2009.0279244581104,325.63976381166196,1614.4304684787146,156.81163781055832,[3.91386829],2,15,0.015625,102,maxcut,8,0
5,1456.7800792931025,11654.24063434482,182.09750991163781,2228.7958835974814,400.57598757083025,1411.9139582632667,201.3600543333355,[3.06229797],3,17,0.015625,127,maxcut,8,0
6,1728.856758419339,13830.854067354712,216.10709480241738,2435.98578402223,461.8254845298412,1425.0480586676051,260.44214625048414,[2.18248881],5,18,0.015625,152,maxcut,8,0
7,2000.8647613090907,16006.918090472725,250.10809516363634,2632.134315267994,540.3716859122098,1419.8282602757631,305.8262604656067,[2.38979681],6,20,0.015625,177,maxcut,8,0
8,2272.8291016807266,18182.632813445813,284.1036377100908,2820.111007071822,603.1461941659447,1502.116670147441,315.6562510488036,[2.85590831],4,21,0.015625,202,maxcut,8,0
9,2544.763960725379,20358.111685803033,318.0954950906724,3001.0416491962537,666.3368331168085,1700.4420866098244,356.6275012191867,[5.67959167],6,22,0.015625,227,maxcut,8,0
10,2816.6779782744998,22533.423826195998,352.08474728431247,3175.834435384781,730.0265843417471,1646.835966814199,450.0781273315072,[2.38807182],9,23,0.015625,252,maxcut,8,0
11,3088.5767185794075,24708.61374863526,386.07208982242594,3345.290455149338,794.2711991478631,1828.9959058034692,432.8530340132278,[5.99437157],7,24,0.015625,277,maxcut,8,0
12,3360.4639270242687,26883.71141619415,420.0579908780336,3510.100615210314,859.10879866564,1858.1948340857564,468.2248255938603,[5.84310945],7,25,0.015625,302,maxcut,8,0
13,3632.3422171824227,29058.73773745938,454.04277714780284,3670.758377738911,902.2099105884413,1723.0509785299653,524.7855658354615,[2.73106552],7,25,0.015625,327,maxcut,8,0
14,3904.213468313505,31233.70774650804,488.0266835391881,3827.1348382555557,967.5453284648221,1946.9621030728163,520.4853809328116,[5.71071856],5,26,0.015625,352,maxcut,8,0
15,4176.079066331269,33408.63253065015,522.0098832914086,3980.3293576550645,1033.552336831676,1871.1985116366604,570.2619715050516,[4.36138536],6,27,0.015625,377,maxcut,8,0
16,4447.940055725784,35583.52044580627,555.992506965723,4130.601949799208,1075.8117365352691,1829.536554257659,629.9825454916341,[2.59104466],7,27,0.015625,402,maxcut,8,0
17,4719.797238602477,37758.37790881981,589.9746548253096,4277.4486514936525,1142.4784440292717,2044.4364360613695,630.0000179336889,[6.23811226],6,28,0.015625,427,maxcut,8,0
18,4991.651241136764,39933.20992909411,623.9564051420955,4422.118763000086,1209.8428562669965,1920.8914765974741,669.9361673145304,[2.99804699],5,29,0.015625,452,maxcut,8,0
19,5263.502559301349,42108.02047441079,657.9378199126686,4563.901992302317,1251.5818744703754,2354.189382345241,688.8638576997353,[12.07235054],7,29,0.015625,477,maxcut,8,0
20,5535.351591035862,44282.812728286895,691.9189488794827,4703.718297342596,1319.6814592710812,2238.8113714145466,713.169580013766,[3.78414113],3,30,0.015625,502,maxcut,8,0
0,17.32670526780222,39.9880354988762,7.507613507188227,41.270779376394096,11.062461070294308,41.2474750968891,11.063099451605325,[0.91476215],2,2,0.18774649500846863,2,maxcut,8,1
1,364.31516237658144,2913.4427555247926,45.55625377769515,1092.6907022064627,103.80909240532262,968.4978548269399,52.3161428796037,[3.37617757],2,8,0.015636570751667023,27,maxcut,8,1
