,AA,C,C_depth,F,F_depth,F_fit,F_fit_depth,F_fit_params,F_fit_r,F_r,Psuc,beta,hamiltonian,nqubits,trial
0,11.947536055485488,19.37650797344267,7.366839163835367,21.847479770253813,10.848928356775236,21.84707376380755,10.847563295417793,[1.02524254],2,2,0.38019436597824097,2,rbm,2,0
1,88.7547956994713,177.5095702381541,44.377403139933406,121.95145977108017,68.6113084669094,98.3819411621108,53.818160900283885,[5.08854883],3,4,0.2500000596046448,27,rbm,2,0
2,157.2660690757638,314.5321381515276,78.6330345378819,188.67871084794834,106.79023618717747,131.12735744887254,85.56671583316464,[3.7953061],2,4,0.25,52,rbm,2,0
3,225.4324030407792,450.8648060815584,112.7162015203896,248.36948932922823,153.52526544897833,168.0892926395155,120.10899993918886,[3.99223385],2,5,0.25,77,rbm,2,0
4,293.49940661434493,586.9988132286899,146.74970330717247,305.44474405743944,201.18009418659142,204.5214671086984,154.2745330175733,[4.29603209],2,6,0.25,102,rbm,2,0
5,361.52423368902305,723.0484673780461,180.76211684451152,359.34703775575974,236.97583856285684,247.13278516535686,207.02588819521276,[2.99026743],4,6,0.25,127,rbm,2,0
6,429.52724607436033,859.0544921487207,214.76362303718017,412.4534538993952,272.27355627421286,283.7064838626978,224.7983525848732,[7.9872975],3,6,0.25,152,rbm,2,0
7,497.51751534961215,995.0350306992243,248.75875767480608,463.63361630158977,321.0406813988578,311.14898079269017,256.5706296835309,[4.8505856],2,7,0.25,177,rbm,2,0
8,565.4996955286963,1130.9993910573926,282.74984776434815,513.9263457190025,356.14587648176905,355.4080401040964,290.0591273250653,[5.48951067],2,7,0.25,202,rbm,2,0
9,633.4764202580504,1266.9528405161009,316.7382101290252,563.8917586863176,391.03882291743923,381.4231491485744,324.5878340258478,[5.17987612],2,7,0.25,227,rbm,2,0
10,701.449291823552,1402.898583647104,350.724645911776,612.7126772459463,441.07378919607527,416.03991091114756,358.7089021069415,[5.20677647],2,8,0.25,252,rbm,2,0
11,769.4193409964488,1538.8386819928976,384.7096704982244,660.7607607461507,475.93415215970174,450.80764999656765,392.7292794236309,[5.31118365],2,8,0.25,277,rbm,2,0
12,837.3872609873234,1674.7745219746469,418.6936304936617,708.6201971432854,510.668192005268,485.5161055250287,426.7297386270355,[5.42132774],2,8,0.25,302,rbm,2,0
13,905.353535171622,1810.707070343244,452.676767585811,756.328590694959,545.3012761914866,520.1520530752957,460.74515131089197,[5.50619219],2,8,0.25,327,rbm,2,0
14,973.3185109007485,1946.637021801497,486.65925545037425,803.1204215742615,596.6954037122098,558.9922977375287,494.4309797698738,[5.8898661],2,9,0.25,352,rbm,2,0
15,1041.2824442045671,2082.5648884091343,520.6412221022836,849.4231455855817,631.3545414230259,596.9281329546151,530.7735390038251,[9.71734417],3,9,0.25,377,rbm,2,0
16,1109.2455279520436,2218.4910559040873,554.6227639760218,895.6178688921104,665.9394626667336,631.3921045481859,564.7877424770764,[9.81301465],3,9,0.25,402,rbm,2,0
17,1177.2079101966008,2354.4158203932016,588.6039550983004,941.7212468716051,700.461694273926,665.9042601134798,598.7287270514844,[9.98089453],3,9,0.25,427,rbm,2,0
18,1245.1697064783236,2490.3394129566473,622.5848532391618,987.7466731207717,734.9304907141563,700.2900029268267,632.7391378701375,[10.06516007],3,9,0.25,452,rbm,2,0
19,1313.1310082846078,2626.2620165692156,656.5655041423039,1032.8855243372136,787.7240237210793,734.6834726357115,666.7303118089856,[10.16415363],3,10,0.25,477,rbm,2,0
20,1381.0918889995364,2762.183777999073,690.5459444997682,1077.8222895635886,822.2357527844438,769.0400069571361,700.7417324545282,[10.23445433],3,10,0.25,502,rbm,2,0
0,11.980657020821743,19.48129577616382,7.367895046600944,21.83053200198794,10.85052633853306,21.825649571652114,10.844136634060458,[1.08462173],2,2,0.37820354104042053,2,rbm,2,1
1,88.7547040230035,177.50920701902947,44.377402268303044,122.21710131547741,68.61130614892383,98.20159458591168,55.00203400186993,[4.22541254],3,4,0.25000056624412537,27,rbm,2,1
2,157.2660690757638,314.5321381515276,78.6330345378819,188.7125603708276,106.79023618717747,132.66954198683237,85.56435607957923,[3.79734345],2,4,0.25,52,rbm,2,1
3,225.4324030407792,450.8648060815584,112.7162015203896,248.38314169346808,153.52526544897833,170.37028723993063,120.15767870871517,[3.94924964],2,5,0.25,77,rbm,2,1
4,293.49940661434493,586.9988132286899,146.74970330717247,305.4520748530323,201.18009418659142,212.15770074380572,165.13852616967014,[5.46091151],4,6,0.25,102,rbm,2,1
5,361.52423368902305,723.0484673780461,180.76211684451152,359.34830986004175,236.97583856285684,251.3594057212667,197.4246215166597,[6.69924555],4,6,0.25,127,rbm,2,1
6,429.52724607436033,859.0544921487207,214.76362303718017,412.45366113062744,272.27355627421286,283.56653593332953,233.30032433773567,[6.02456216],4,6,0.25,152,rbm,2,1
7,497.51751534961215,995.0350306992243,248.75875767480608,463.63383363333025,321.0406813988578,314.91029456394153,256.6542638547902,[4.77327428],2,7,0.25,177,rbm,2,1
8,565.4996955286963,1130.9993910573926,282.74984776434815,513.9263899838909,356.14587648176905,357.520126428823,303.99790945819655,[8.18879072],5,7,0.25,202,rbm,2,1
9,633.4764202580504,1266.9528405161009,316.7382101290252,563.8917656094305,391.03882291743923,385.38032232937314,324.7643058984258,[5.01453295],2,7,0.25,227,rbm,2,1
10,701.449291823552,1402.898583647104,350.724645911776,612.7126910412514,441.07378919607527,420.3918071558549,358.82486342010395,[5.09591614],2,8,0.25,252,rbm,2,1
11,769.4193409964488,1538.8386819928976,384.7096704982244,660.7607607461507,475.93415215970174,455.31948428541324,392.8466565195315,[5.19815832],2,8,0.25,277,rbm,2,1
12,837.3872609873234,1674.7745219746469,418.6936304936617,708.6201971432854,510.668192005268,486.52496400190273,436.4237305455083,[3.90654883],3,8,0.25,302,rbm,2,1
13,905.353535171622,1810.707070343244,452.676767585811,756.328590694959,545.3012761914866,525.2836189651796,460.7851548697101,[5.46762652],2,8,0.25,327,rbm,2,1
14,973.3185109007485,1946.637021801497,486.65925545037425,803.1204215742615,596.6954037122098,567.4540283047738,494.43088279342453,[5.88995417],2,9,0.25,352,rbm,2,1
15,1041.2824442045671,2082.5648884091343,520.6412221022836,849.4231455855817,631.3545414230259,601.9854199884949,531.0151750783484,[9.4551097],3,9,0.25,377,rbm,2,1
16,1109.2455279520436,2218.4910559040873,554.6227639760218,895.6178688921104,665.9394626667336,633.8829913288396,573.5290737382005,[7.31042795],4,9,0.25,402,rbm,2,1
17,1177.2079101966008,2354.4158203932016,588.6039550983004,941.7212468716051,700.461694273926,659.2721594365578,606.6081155572301,[4.14577031],3,9,0.25,427,rbm,2,1
18,1245.1697064783236,2490.3394129566473,622.5848532391618,987.7466731207717,734.9304907141563,705.838026718893,632.8924154437445,[9.894521],3,9,0.25,452,rbm,2,1
19,1313.1310082846078,2626.2620165692156,656.5655041423039,1032.8855243372136,787.7240237210793,740.1943093739317,666.9344534106577,[9.93506415],3,10,0.25,477,rbm,2,1
20,1381.0918889995364,2762.183777999073,690.5459444997682,1077.8222895635886,822.2357527844438,774.8602077454275,700.8542616895209,[10.10731014],3,10,0.25,502,rbm,2,1
0,12.783236987310348,22.10471159676283,7.392593527330636,24.04832335769182,10.88792097776274,24.033486694492673,10.87906987348682,[1.10669222],2,2,0.33443519473075867,2,rbm,2,2
1,88.75480648495653,177.50961296991306,44.377403242478266,121.64071020422946,68.6113087396139,85.88849321044287,50.66636598452269,[3.3245842],2,4,0.25,27,rbm,2,2
2,157.2660690757638,314.5321381515276,78.6330345378819,188.6627800708432,106.79023618717747,124.73545135659609,85.37897813092991,[3.95689869],2,4,0.25,52,rbm,2,2
3,225.4324030407792,450.8648060815584,112.7162015203896,248.36452678080886,153.52526544897833,161.61027890975106,119.70816781330495,[4.33945993],2,5,0.25,77,rbm,2,2
4,293.49940661434493,586.9988132286899,146.74970330717247,305.4424784454031,201.18009418659142,197.82385322233958,153.83114553748823,[4.68138541],2,6,0.25,102,rbm,2,2
5,361.52423368902305,723.0484673780461,180.76211684451152,359.3467784422383,236.97583856285684,240.80781154007877,190.13298238333456,[8.26332226],3,6,0.25,127,rbm,2,2
6,429.52724607436033,859.0544921487207,214.76362303718017,412.45342589517514,272.27355627421286,276.03726358539126,224.17345530575827,[8.59509556],3,6,0.25,152,rbm,2,2
7,497.51751534961215,995.0350306992243,248.75875767480608,463.63358770530874,321.0406813988578,304.9119256204852,255.9740856951133,[5.37730095],2,7,0.25,177,rbm,2,2
8,565.4996955286963,1130.9993910573926,282.74984776434815,513.926339395447,356.14587648176905,340.04404096864624,290.01609815590905,[5.52658865],2,7,0.25,202,rbm,2,2
9,633.4764202580504,1266.9528405161009,316.7382101290252,563.8917586863176,391.03882291743923,377.90712613612277,323.8820381061057,[5.80165674],2,7,0.25,227,rbm,2,2
10,701.449291823552,1402.898583647104,350.724645911776,612.7126772459463,441.07378919607527,407.9547119478894,358.36604531505475,[5.52099287],2,8,0.25,252,rbm,2,2
11,769.4193409964488,1538.8386819928976,384.7096704982244,660.7607607461507,475.93415215970174,442.6681478361484,392.3360828606616,[5.67209635],2,8,0.25,277,rbm,2,2
12,837.3872609873234,1674.7745219746469,418.6936304936617,708.6201971432854,510.668192005268,477.288253325034,426.34379908875326,[5.77662824],2,8,0.25,302,rbm,2,2
13,905.353535171622,1810.707070343244,452.676767585811,756.328590694959,545.3012761914866,511.71691569079394,460.42086544488546,[5.80785442],2,8,0.25,327,rbm,2,2
14,973.3185109007485,1946.637021801497,486.65925545037425,803.1204215742615,596.6954037122098,546.208935897066,494.43060905088737,[5.89020278],2,9,0.25,352,rbm,2,2
15,1041.2824442045671,2082.5648884091343,520.6412221022836,849.4231455855817,631.3545414230259,581.193871165777,528.3046745760687,[6.08704646],2,9,0.25,377,rbm,2,2
16,1109.2455279520436,2218.4910559040873,554.6227639760218,895.6178688921104,665.9394626667336,615.0871953742519,562.4477832766868,[6.03412884],2,9,0.25,402,rbm,2,2
17,1177.2079101966008,2354.4158203932016,588.6039550983004,941.7212468716051,700.461694273926,656.6606963772845,598.2946420129537,[10.45900288],3,9,0.25,427,rbm,2,2
18,1245.1697064783236,2490.3394129566473,622.5848532391618,987.7466731207717,734.9304907141563,690.0967269218951,642.0546916612118,[7.19341568],4,9,0.25,452,rbm,2,2
19,1313.1310082846078,2626.2620165692156,656.5655041423039,1032.8855243372136,787.7240237210793,725.3303125811415,666.2748670793634,[10.67256874],3,10,0.25,477,rbm,2,2
20,1381.0918889995364,2762.183777999073,690.5459444997682,1077.8222895635886,822.2357527844438,759.8027003093201,700.163511061655,[10.88350587],3,10,0.25,502,rbm,2,2
0,11.300037309511278,17.383397910951047,7.34556292449046,20.063839314352542,10.816740520275353,20.06371955312674,10.816025963828128,[1.01427117],2,2,0.42256197333335876,2,rbm,2,3
1,88.75349607691177,177.5044212110648,44.377390783454835,122.9299949334355,60.70397384466883,104.1477014257241,53.83281509272726,[5.07693448],3,3,0.2500072419643402,27,rbm,2,3
2,157.2660690757638,314.5321381515276,78.6330345378819,188.84015626758563,106.79023618717747,138.1471269658008,86.04250834016419,[3.37752169],2,4,0.25,52,rbm,2,3
3,225.4324030407792,450.8648060815584,112.7162015203896,248.4461540621577,153.52526544897833,178.07100366567272,120.13771133828743,[3.96690906],2,5,0.25,77,rbm,2,3
4,293.49940661434493,586.9988132286899,146.74970330717247,305.4910352523688,201.18009418659142,218.69076697172,164.4939368672567,[5.76511631],4,6,0.25,102,rbm,2,3
5,361.52423368902305,723.0484673780461,180.76211684451152,359.3581391998466,236.97583856285684,257.46207425279874,197.54137153998897,[6.63402751],4,6,0.25,127,rbm,2,3
6,429.52724607436033,859.0544921487207,214.76362303718017,412.45601908652975,272.27355627421286,286.98273247531324,222.8771455785916,[4.34147097],2,6,0.25,152,rbm,2,3
7,497.51751534961215,995.0350306992243,248.75875767480608,463.63628719483444,321.0406813988578,322.78580565527164,256.9503691293793,[4.48889739],2,7,0.25,177,rbm,2,3
8,565.4996955286963,1130.9993910573926,282.74984776434815,513.9270855750294,356.14587648176905,358.3437681081033,291.00290998169925,[4.62148624],2,7,0.25,202,rbm,2,3
9,633.4764202580504,1266.9528405161009,316.7382101290252,563.8919663797072,391.03882291743923,391.3146308468655,333.86238374572065,[3.86305687],3,7,0.25,227,rbm,2,3
10,701.449291823552,1402.898583647104,350.724645911776,612.7129738450116,441.07378919607527,424.2351106520318,368.5975331283006,[3.65137271],3,8,0.25,252,rbm,2,3
11,769.4193409964488,1538.8386819928976,384.7096704982244,660.7608572387971,475.93415215970174,460.483292090648,402.24433292215485,[3.90008801],3,8,0.25,277,rbm,2,3
