,AA,C,C_depth,F,F_depth,F_fit,F_fit_depth,F_fit_params,F_fit_r,F_r,Psuc,beta,hamiltonian,nqubits,trial
0,12.614083376300055,21.538351080394907,7.387524645240021,24.941333284107227,10.880243995407486,24.941333184117216,10.880243993578869,[1.00000004],2,2,0.34299397468566895,2,weighted_maxcut,12,0
1,1147.3173122674546,28310.98434927974,46.49562865030176,11269.446451346108,99.12097079492065,10051.138937010985,80.51567591735224,[1.66006451],5,7,0.001642317627556622,27,weighted_maxcut,12,0
2,3191.877877704827,125255.99305663873,81.33809918040873,34302.54514416399,189.46339725713673,27398.9156359559,132.56448102715524,[1.75460463],6,11,0.0006493749096989632,52,weighted_maxcut,12,0
3,5076.679263627491,222933.06686215306,115.60722107537985,48568.65526563251,287.64007995534473,37863.95273283982,136.01724995714522,[2.73845753],3,15,0.0005185736808925867,77,weighted_maxcut,12,0
4,6732.381323569228,302753.81938120787,149.70895620270772,55974.96179364491,379.45370176864895,38485.04993725152,220.58553379809106,[1.93338697],7,18,0.0004944907268509269,102,weighted_maxcut,12,0
5,8304.533704722944,375311.133940702,183.75495373333558,61108.77212587245,475.8336091375508,40115.67991372869,270.8042279568206,[1.92324472],8,21,0.0004896069876849651,127,weighted_maxcut,12,0
6,9852.545808941268,445742.90148023766,217.77724018694207,65449.79305207791,559.8807065359381,40939.08529934104,263.80818348474804,[2.64723427],5,23,0.0004885714151896536,152,weighted_maxcut,12,0
7,11393.823710131795,515591.48958056286,251.78696964756008,69396.2522920552,664.02159062117,47306.83378034376,283.69054585850756,[3.4158408],4,26,0.000488345860503614,177,weighted_maxcut,12,0
8,12933.141572048908,585278.4187411772,285.7890288905877,73095.35484915484,753.2659641053241,41054.91509584079,348.72304448665585,[2.36174927],6,28,0.0004882958601228893,202,weighted_maxcut,12,0
9,14471.811398171481,654917.1583546367,319.785979757211,76599.49571864145,844.5612541843534,41678.39295085319,397.6361230526661,[2.33436658],7,30,0.000488284626044333,227,weighted_maxcut,12,0
10,16010.21261541165,724538.952733831,353.77933377289577,79933.82041128763,959.3578526859033,49391.42870562422,397.10076353513637,[5.68236775],6,33,0.0004882820066995919,252,weighted_maxcut,12,0
11,17548.46729129608,794152.8794803752,387.77005313534,83128.44266554722,1055.7736325394699,44477.25292008673,424.00102175812754,[2.9511187],4,35,0.0004882813664153218,277,weighted_maxcut,12,0
12,19086.623722247565,863761.9880932657,421.7587832486649,86201.49315842496,1154.2099344457256,52984.13747457031,447.48810544990386,[5.91002405],4,37,0.00048828125,302,weighted_maxcut,12,0
